platform,vflows,configuration,resource,used,available,utilization_percent,exceeds_capacity
quartus,1024,static,logic_alms,843694,487200,173.17200328407225,True
quartus,1024,replay,logic_alms,945926,487200,194.1555829228243,True
quartus,1024,static,m20k_equivalents,18.29296875,7110,0.2572850738396624,False
quartus,1024,replay,m20k_equivalents,27.29296875,7110,0.3838673523206751,False
vivado,1024,static,logic_luts,1209743,216960,557.588034660767,True
vivado,1024,replay,logic_luts,1440373,216960,663.8887352507375,True
vivado,1024,static,registers,733507,433920,169.04198930678467,True
vivado,1024,replay,registers,979377,433920,225.70450774336283,True
vivado,1024,static,bram36_tiles,21.0,480,4.375,False
vivado,1024,replay,bram36_tiles,28.5,480,5.9375,False
vivado,1024,static,uram288_blocks,0,64,0.0,False
vivado,1024,replay,uram288_blocks,0,64,0.0,False
vivado,1024,static,dsp_blocks,0,1824,0.0,False
vivado,1024,replay,dsp_blocks,0,1824,0.0,False
