platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
quartus,32,logic_alms,ALMs,11738,15545,50064,5,250320,262058,265865,3807,1.4527318379900633,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,logic_aluts,ALUTs,19107,28118,61965,5,309825,328932,337943,9011,2.7394719881312857,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,registers,bits,10631,16681,21550,5,107750,118381,124431,6050,5.110617413267332,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,block_memory_bits,bits,22240,25600,0,5,0,22240,25600,3360,15.107913669064748,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,logic_luts,LUTs,14568,21900,96714,5,483570,498138,505470,7332,1.471881285908724,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,registers,bits,10972,16092,21617,5,108085,119057,124177,5120,4.300461123663455,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,bram36_tiles,tiles,1.0,1.0,0.0,5,0.0,1.0,1.0,0.0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,bram_uram_allocated_bits,bits,36864,36864,0,5,0,36864,36864,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,lutram_luts,LUTs,638,708,0,5,0,638,708,70,10.9717868338558,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,128,logic_alms,ALMs,55661,84352,53197,5,265985,321646,350337,28691,8.920054967262145,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,128,logic_aluts,ALUTs,83361,123762,74765,5,373825,457186,497587,40401,8.836884768999926,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,128,registers,bits,48867,79077,25654,5,128270,177137,207347,30210,17.054596160034325,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,128,block_memory_bits,bits,53600,70880,0,5,0,53600,70880,17280,32.23880597014925,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,128,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,128,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,logic_luts,LUTs,58185,88049,108338,5,541690,599875,629739,29864,4.978370493852886,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,registers,bits,53179,78334,25712,5,128560,181739,206894,25155,13.841277876515223,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,bram36_tiles,tiles,3.5,3.5,0.0,5,0.0,3.5,3.5,0.0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,bram_uram_allocated_bits,bits,129024,129024,0,5,0,129024,129024,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,lutram_luts,LUTs,1048,1368,0,5,0,1048,1368,320,30.53435114503817,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,512,logic_alms,ALMs,281742,341023,56515,5,282575,564317,623598,59281,10.504911246692904,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,512,logic_aluts,ALUTs,375504,571986,94284,5,471420,846924,1043406,196482,23.199484251243323,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,512,registers,bits,232063,378113,29758,5,148790,380853,526903,146050,38.34812906817066,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,512,block_memory_bits,bits,187200,271680,0,5,0,187200,271680,84480,45.12820512820513,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,512,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,512,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,logic_luts,LUTs,267449,375160,120113,5,600565,868014,975725,107711,12.408901238920109,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,registers,bits,264471,377201,29813,5,149065,413536,526266,112730,27.260020892981505,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,bram36_tiles,tiles,16.0,21.0,0.0,5,0.0,16.0,21.0,5.0,31.25,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,bram_uram_allocated_bits,bits,589824,774144,0,5,0,589824,774144,184320,31.25,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,lutram_luts,LUTs,628,628,0,5,0,628,628,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,logic_alms,ALMs,551794,654026,58380,5,291900,843694,945926,102232,12.117189407534012,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,logic_aluts,ALUTs,746094,1170520,98361,5,491805,1237899,1662325,424426,34.285995868806744,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,registers,bits,503501,821071,31810,5,159050,662551,980121,317570,47.93140452584027,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,block_memory_bits,bits,374640,558960,0,5,0,374640,558960,184320,49.19923126201153,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,logic_luts,LUTs,578413,809043,126266,5,631330,1209743,1440373,230630,19.064379789756998,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,registers,bits,574237,820107,31854,5,159270,733507,979377,245870,33.5197891771994,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,bram36_tiles,tiles,21.0,28.5,0.0,5,0.0,21.0,28.5,7.5,35.714285714285715,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,bram_uram_allocated_bits,bits,774144,1050624,0,5,0,774144,1050624,276480,35.714285714285715,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,lutram_luts,LUTs,788,788,0,5,0,788,788,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
