platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,32,static,logic_alms,ALMs,262058,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,11738,50064,5,250320,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,logic_alms,ALMs,265865,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,15545,50064,5,250320,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,32,static,logic_luts,LUTs,498138,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,14568,96714,5,483570,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,logic_luts,LUTs,505470,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,21900,96714,5,483570,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,logic_alms,ALMs,321646,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,55661,53197,5,265985,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,logic_alms,ALMs,350337,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,84352,53197,5,265985,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,128,static,logic_luts,LUTs,599875,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,58185,108338,5,541690,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,logic_luts,LUTs,629739,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,88049,108338,5,541690,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,512,static,logic_alms,ALMs,564317,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,281742,56515,5,282575,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,logic_alms,ALMs,623598,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,341023,56515,5,282575,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,512,static,logic_luts,LUTs,868014,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,267449,120113,5,600565,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,logic_luts,LUTs,975725,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,375160,120113,5,600565,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,logic_alms,ALMs,843694,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,551794,58380,5,291900,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,logic_alms,ALMs,945926,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,654026,58380,5,291900,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,logic_luts,LUTs,1209743,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,578413,126266,5,631330,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,logic_luts,LUTs,1440373,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json,809043,126266,5,631330,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
