platform,part,vflows,resource,unit,pifo_one,pifo_count,pifo_total,available,measurement_kind,count_definition,capacity_source,pifo_source,configuration,rio_only,value,utilization_percent,exceeds_capacity,source
quartus,AGFB014R24B2E2V,32,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,static,1.0859375,1.0859375,0.015273382559774965,False,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,32,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,replay,1.25,1.25,0.017580872011251757,False,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,32,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,static,1.0,1.0,0.20833333333333334,False,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,32,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,replay,1.0,1.0,0.20833333333333334,False,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,128,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,static,2.6171875,2.6171875,0.03680995077355837,False,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,128,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,replay,3.4609375,3.4609375,0.04867703938115331,False,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,128,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,static,3.5,3.5,0.7291666666666666,False,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,128,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,replay,3.5,3.5,0.7291666666666666,False,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,512,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,static,9.140625,9.140625,0.12856012658227847,False,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,512,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,replay,13.265625,13.265625,0.1865770042194093,False,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,512,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,static,16.0,16.0,3.3333333333333335,False,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,512,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,replay,21.0,21.0,4.375,False,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,1024,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,static,18.29296875,18.29296875,0.2572850738396624,False,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
