platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind,part,available,count_definition,capacity_source,pifo_source,static_utilization_percent,replay_utilization_percent,utilization_change_percentage_points,static_source,replay_source
quartus,32,logic_alms,ALMs,11738,15545,50064,5,250320,262058,265865,3807,1.4527318379900633,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,128,logic_alms,ALMs,55661,84352,53197,5,265985,321646,350337,28691,8.920054967262145,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,512,logic_alms,ALMs,281742,341023,56515,5,282575,564317,623598,59281,10.504911246692904,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,1024,logic_alms,ALMs,551794,654026,58380,5,291900,843694,945926,102232,12.117189407534012,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,32,registers,bits,10631,16681,21550,5,107750,118381,124431,6050,5.110617413267332,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,128,registers,bits,48867,79077,25654,5,128270,177137,207347,30210,17.054596160034325,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,512,registers,bits,232063,378113,29758,5,148790,380853,526903,146050,38.34812906817066,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,1024,registers,bits,503501,821071,31810,5,159050,662551,980121,317570,47.93140452584027,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,32,m20k_equivalents,M20K equivalents,1.0859375,1.25,0.0,5,0.0,1.0859375,1.25,0.1640625,15.107913669064748,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,0.015273382559774965,0.017580872011251757,0.0023074894514767933,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,128,m20k_equivalents,M20K equivalents,2.6171875,3.4609375,0.0,5,0.0,2.6171875,3.4609375,0.84375,32.23880597014925,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,0.03680995077355837,0.04867703938115331,0.011867088607594937,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,512,m20k_equivalents,M20K equivalents,9.140625,13.265625,0.0,5,0.0,9.140625,13.265625,4.125,45.12820512820513,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,0.12856012658227847,0.1865770042194093,0.0580168776371308,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,m20k_equivalents,M20K equivalents,18.29296875,27.29296875,0.0,5,0.0,18.29296875,27.29296875,9.0,49.19923126201153,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,0.2572850738396624,0.3838673523206751,0.12658227848101267,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
vivado,32,logic_luts,LUTs,14568,21900,96714,5,483570,498138,505470,7332,1.471881285908724,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
