platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,32,static,registers,bits,118381,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,10631,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,registers,bits,124431,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,16681,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,32,static,registers,bits,119057,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,10972,21617,5,108085,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,registers,bits,124177,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,16092,21617,5,108085,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,registers,bits,177137,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,48867,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,registers,bits,207347,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,79077,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,128,static,registers,bits,181739,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,53179,25712,5,128560,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,registers,bits,206894,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,78334,25712,5,128560,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,512,static,registers,bits,380853,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,232063,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,registers,bits,526903,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,378113,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,512,static,registers,bits,413536,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,264471,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,registers,bits,526266,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,377201,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,registers,bits,662551,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,503501,31810,5,159050,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,registers,bits,980121,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,821071,31810,5,159050,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,registers,bits,733507,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,574237,31854,5,159270,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,registers,bits,979377,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json,820107,31854,5,159270,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
