platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,32,static,logic_alms,ALMs,262058,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,11738,50064,5,250320,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,logic_alms,ALMs,265865,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,15545,50064,5,250320,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,logic_aluts,ALUTs,328932,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,19107,61965,5,309825,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,logic_aluts,ALUTs,337943,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,28118,61965,5,309825,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,registers,bits,118381,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,10631,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,registers,bits,124431,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,16681,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,block_memory_bits,bits,22240,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,22240,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,block_memory_bits,bits,25600,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,25600,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,32,static,logic_luts,LUTs,498138,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,14568,96714,5,483570,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,logic_luts,LUTs,505470,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,21900,96714,5,483570,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,static,registers,bits,119057,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,10972,21617,5,108085,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,registers,bits,124177,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,16092,21617,5,108085,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,static,bram36_tiles,tiles,1.0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,1.0,0.0,5,0.0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,bram36_tiles,tiles,1.0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,1.0,0.0,5,0.0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,static,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,static,bram_uram_allocated_bits,bits,36864,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,36864,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,bram_uram_allocated_bits,bits,36864,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,36864,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,static,lutram_luts,LUTs,638,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,638,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,lutram_luts,LUTs,708,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,708,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,logic_alms,ALMs,321646,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,55661,53197,5,265985,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,logic_alms,ALMs,350337,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,84352,53197,5,265985,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,logic_aluts,ALUTs,457186,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,83361,74765,5,373825,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,logic_aluts,ALUTs,497587,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,123762,74765,5,373825,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,registers,bits,177137,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,48867,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,registers,bits,207347,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,79077,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,block_memory_bits,bits,53600,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,53600,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,block_memory_bits,bits,70880,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,70880,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,128,static,logic_luts,LUTs,599875,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,58185,108338,5,541690,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,logic_luts,LUTs,629739,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,88049,108338,5,541690,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
