platform,vflows,configuration,resource,unit,value,source
quartus,32,static,logic_alms,ALMs,11738,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,logic_alms,ALMs,15545,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,logic_aluts,ALUTs,19107,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,logic_aluts,ALUTs,28118,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,registers,bits,10631,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,registers,bits,16681,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,block_memory_bits,bits,22240,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,bits,25600,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
vivado,32,static,logic_luts,LUTs,14568,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,logic_luts,LUTs,21900,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,registers,bits,10972,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,registers,bits,16092,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,bram36_tiles,tiles,1.0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,tiles,1.0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,bits,36864,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,bits,36864,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,lutram_luts,LUTs,638,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,lutram_luts,LUTs,708,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
quartus,128,static,logic_alms,ALMs,55661,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,logic_alms,ALMs,84352,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,logic_aluts,ALUTs,83361,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,logic_aluts,ALUTs,123762,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,registers,bits,48867,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,registers,bits,79077,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,block_memory_bits,bits,53600,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,bits,70880,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
vivado,128,static,logic_luts,LUTs,58185,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
