platform,vflows,resource,one_pifo,pifo_count,pifo_total,source
vivado,32,logic_luts,94715,5,473575,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,registers,21590,5,107950,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,bram36_tiles,0.0,5,0.0,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,uram288_blocks,0,5,0,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,bram_uram_allocated_bits,0,5,0,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,lutram_luts,0,5,0,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,dsp_blocks,0,5,0,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,distributed_ram_luts,0,5,0,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,32,srl_luts,0,5,0,../runs/pifo-v32-c1024-kcu116/resource-summary.json
vivado,128,logic_luts,105274,5,526370,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,registers,25697,5,128485,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,bram36_tiles,0.0,5,0.0,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,uram288_blocks,0,5,0,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,bram_uram_allocated_bits,0,5,0,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,lutram_luts,0,5,0,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,dsp_blocks,0,5,0,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,distributed_ram_luts,0,5,0,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,128,srl_luts,0,5,0,../runs/pifo-v128-c1024-kcu116/resource-summary.json
vivado,512,logic_luts,121016,5,605080,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,registers,29804,5,149020,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,bram36_tiles,0.0,5,0.0,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,uram288_blocks,0,5,0,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,bram_uram_allocated_bits,0,5,0,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,lutram_luts,0,5,0,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,dsp_blocks,0,5,0,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,distributed_ram_luts,0,5,0,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,512,srl_luts,0,5,0,../runs/pifo-v512-c1024-kcu116/resource-summary.json
vivado,1024,logic_luts,124267,5,621335,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,registers,31861,5,159305,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,bram36_tiles,0.0,5,0.0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,uram288_blocks,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,bram_uram_allocated_bits,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,lutram_luts,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,dsp_blocks,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,distributed_ram_luts,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
vivado,1024,srl_luts,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json
