platform,vflows,configuration,resource,used,available,utilization_percent,exceeds_capacity
vivado,1024,static,logic_luts,1005049,216960,463.24161135693214,True
vivado,1024,replay,logic_luts,1134965,216960,523.12177359882,True
vivado,1024,static,registers,310397,433920,71.5332319321534,False
vivado,1024,replay,registers,338312,433920,77.96644542772862,False
vivado,1024,static,bram36_tiles,21.0,480,4.375,False
vivado,1024,replay,bram36_tiles,28.5,480,5.9375,False
vivado,1024,static,uram288_blocks,0,64,0.0,False
vivado,1024,replay,uram288_blocks,0,64,0.0,False
vivado,1024,static,lutram_luts,123368,99840,123.56570512820512,True
vivado,1024,replay,lutram_luts,184808,99840,185.10416666666666,True
vivado,1024,static,dsp_blocks,0,1824,0.0,False
vivado,1024,replay,dsp_blocks,0,1824,0.0,False
