platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
vivado,1024,static,logic_luts,LUTs,1005049,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,383714,124267,5,621335,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,logic_luts,LUTs,1134965,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,513630,124267,5,621335,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,registers,bits,310397,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,151092,31861,5,159305,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,registers,bits,338312,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,179007,31861,5,159305,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,bram36_tiles,tiles,21.0,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,21.0,0.0,5,0.0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,bram36_tiles,tiles,28.5,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,28.5,0.0,5,0.0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,0,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,0,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,bram_uram_allocated_bits,bits,774144,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,774144,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,bram_uram_allocated_bits,bits,1050624,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,1050624,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,lutram_luts,LUTs,123368,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,123368,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,lutram_luts,LUTs,184808,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,184808,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,0,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,0,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,distributed_ram_luts,LUTs,488,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,488,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,distributed_ram_luts,LUTs,488,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,488,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,srl_luts,LUTs,122880,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,122880,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,srl_luts,LUTs,184320,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,184320,0,5,0,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
