platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
vivado,32,logic_luts,LUTs,11478,16500,94715,5,473575,485053,490075,5022,1.035350776100756,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,registers,bits,5502,6922,21590,5,107950,113452,114872,1420,1.2516306455593555,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,bram36_tiles,tiles,1.0,1.0,0.0,5,0.0,1.0,1.0,0.0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,bram_uram_allocated_bits,bits,36864,36864,0,5,0,36864,36864,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,lutram_luts,LUTs,2908,4258,0,5,0,2908,4258,1350,46.42365887207703,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,distributed_ram_luts,LUTs,348,418,0,5,0,348,418,70,20.114942528735632,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,srl_luts,LUTs,2560,3840,0,5,0,2560,3840,1280,50.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,logic_luts,LUTs,39252,57862,105274,5,526370,565622,584232,18610,3.2901831965517605,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,registers,bits,16289,21519,25697,5,128485,144774,150004,5230,3.6125271112216284,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,bram36_tiles,tiles,3.5,3.5,0.0,5,0.0,3.5,3.5,0.0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,bram_uram_allocated_bits,bits,129024,129024,0,5,0,129024,129024,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,lutram_luts,LUTs,13508,20228,0,5,0,13508,20228,6720,49.74829730530056,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,distributed_ram_luts,LUTs,708,1028,0,5,0,708,1028,320,45.19774011299435,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,128,srl_luts,LUTs,12800,19200,0,5,0,12800,19200,6400,50.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,logic_luts,LUTs,188754,259528,121016,5,605080,793834,864608,70774,8.915465953839215,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,registers,bits,73351,87251,29804,5,149020,222371,236271,13900,6.250815079304406,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,bram36_tiles,tiles,16.0,21.0,0.0,5,0.0,16.0,21.0,5.0,31.25,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,bram_uram_allocated_bits,bits,589824,774144,0,5,0,589824,774144,184320,31.25,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,lutram_luts,LUTs,61768,92488,0,5,0,61768,92488,30720,49.734490350990804,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,distributed_ram_luts,LUTs,328,328,0,5,0,328,328,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,512,srl_luts,LUTs,61440,92160,0,5,0,61440,92160,30720,50.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,logic_luts,LUTs,383714,513630,124267,5,621335,1005049,1134965,129916,12.926334934913621,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
