platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind,part,available,count_definition,capacity_source,pifo_source,static_utilization_percent,replay_utilization_percent,utilization_change_percentage_points,static_source,replay_source
vivado,32,logic_luts,LUTs,11478,16500,94715,5,473575,485053,490075,5022,1.035350776100756,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,128,logic_luts,LUTs,39252,57862,105274,5,526370,565622,584232,18610,3.2901831965517605,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,512,logic_luts,LUTs,188754,259528,121016,5,605080,793834,864608,70774,8.915465953839215,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,1024,logic_luts,LUTs,383714,513630,124267,5,621335,1005049,1134965,129916,12.926334934913621,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,32,registers,bits,5502,6922,21590,5,107950,113452,114872,1420,1.2516306455593555,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,128,registers,bits,16289,21519,25697,5,128485,144774,150004,5230,3.6125271112216284,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,512,registers,bits,73351,87251,29804,5,149020,222371,236271,13900,6.250815079304406,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,1024,registers,bits,151092,179007,31861,5,159305,310397,338312,27915,8.993321456070774,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,32,bram36_tiles,BRAM36 equivalents,1.0,1.0,0.0,5,0.0,1.0,1.0,0.0,0.0,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-v32-c1024-kcu116/resource-summary.json,0.20833333333333334,0.20833333333333334,0.0,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,bram36_tiles,BRAM36 equivalents,3.5,3.5,0.0,5,0.0,3.5,3.5,0.0,0.0,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-v128-c1024-kcu116/resource-summary.json,0.7291666666666666,0.7291666666666666,0.0,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,bram36_tiles,BRAM36 equivalents,16.0,21.0,0.0,5,0.0,16.0,21.0,5.0,31.25,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-v512-c1024-kcu116/resource-summary.json,3.3333333333333335,4.375,1.0416666666666667,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,bram36_tiles,BRAM36 equivalents,21.0,28.5,0.0,5,0.0,21.0,28.5,7.5,35.714285714285715,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,4.375,5.9375,1.5625,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
