platform,vflows,configuration,resource,unit,value,source
vivado,32,static,logic_luts,LUTs,11478,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,logic_luts,LUTs,16500,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,registers,bits,5502,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,registers,bits,6922,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,bram36_tiles,tiles,1.0,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,bram36_tiles,tiles,1.0,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,bits,36864,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,bits,36864,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,lutram_luts,LUTs,2908,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,lutram_luts,LUTs,4258,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,distributed_ram_luts,LUTs,348,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,distributed_ram_luts,LUTs,418,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,32,static,srl_luts,LUTs,2560,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,32,replay,srl_luts,LUTs,3840,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,logic_luts,LUTs,39252,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,logic_luts,LUTs,57862,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,registers,bits,16289,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,registers,bits,21519,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,bram36_tiles,tiles,3.5,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,bram36_tiles,tiles,3.5,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,uram288_blocks,blocks,0,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,uram288_blocks,blocks,0,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,bits,129024,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,bits,129024,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,lutram_luts,LUTs,13508,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,lutram_luts,LUTs,20228,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,distributed_ram_luts,LUTs,708,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,distributed_ram_luts,LUTs,1028,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,128,static,srl_luts,LUTs,12800,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,128,replay,srl_luts,LUTs,19200,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,logic_luts,LUTs,188754,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,logic_luts,LUTs,259528,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,registers,bits,73351,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,registers,bits,87251,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,bram36_tiles,tiles,16.0,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,bram36_tiles,tiles,21.0,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,bram_uram_allocated_bits,bits,589824,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,bram_uram_allocated_bits,bits,774144,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,lutram_luts,LUTs,61768,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,lutram_luts,LUTs,92488,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,distributed_ram_luts,LUTs,328,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,distributed_ram_luts,LUTs,328,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,512,static,srl_luts,LUTs,61440,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,512,replay,srl_luts,LUTs,92160,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,logic_luts,LUTs,383714,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,logic_luts,LUTs,513630,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,registers,bits,151092,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,registers,bits,179007,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,bram36_tiles,tiles,21.0,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,bram36_tiles,tiles,28.5,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,bits,774144,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,bits,1050624,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,lutram_luts,LUTs,123368,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,lutram_luts,LUTs,184808,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,distributed_ram_luts,LUTs,488,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,distributed_ram_luts,LUTs,488,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
vivado,1024,static,srl_luts,LUTs,122880,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json
vivado,1024,replay,srl_luts,LUTs,184320,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json
