run,t1,t1_backlog_packets,global_stop_cycles,hardware_stop_cycles,prefill_entries,prefill_write_cycles,copy_cycles,copied_entries,copied_pifos,fixed_stop_overhead_cycles
link,0,0,0,0,0,0,0,0,0,0
reserved,0,0,83,71,1,1,0,0,0,82
copy,0,0,106,94,1,1,4,2,2,101
link,1000,107,0,0,0,0,0,0,0,0
reserved,1000,107,185,173,103,103,0,0,0,82
copy,1000,107,412,400,103,103,208,206,3,101
link,2500,257,0,0,0,0,0,0,0,0
reserved,2500,257,335,323,253,253,0,0,0,82
copy,2500,257,862,850,253,253,508,506,3,101
link,5000,507,0,0,0,0,0,0,0,0
reserved,5000,507,584,573,503,503,0,0,0,81
copy,5000,507,1611,1600,503,503,1008,1006,2,100
