cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
1010,accepted,StopWorld,1,1,0,0,
1011,accepted,UpdateBrainEngine,1,2,0,2,
1012,accepted,UpdateBrainFlowState,1,2,9,1,
1012,dispatched,StopWorld,1,1,0,0,
1013,accepted,UpdateBrainFlowState,1,2,10,3,
1014,accepted,UpdateBrainFlowState,1,2,11,3,
1015,accepted,UpdateBrainEngine,2,1,0,1,
1016,accepted,UpdateBrainEngine,3,3,0,3,
1017,accepted,UpdateBrainEngine,3,4,0,3,
1018,accepted,UpdateBrainEngine,3,5,0,3,
1019,accepted,UpdateMapperPre,1,1,0,2,
1020,accepted,UpdateMapperPost,1,2,9,27,
1021,accepted,UpdateMapperPre,3,1,0,3,
1022,accepted,UpdateMapperPost,3,3,25,1,
1023,accepted,UpdateMapperPre,1,2,0,2,
1024,accepted,UpdateMapperPost,1,2,10,17,
1025,accepted,UpdateMapperPre,2,2,0,1,
1026,accepted,UpdateMapperPost,2,1,18,28,
1027,accepted,UpdateMapperPre,3,2,0,4,
1028,accepted,UpdateMapperPost,3,4,26,2,
1029,accepted,UpdateMapperPre,1,3,0,2,
1030,accepted,UpdateMapperPost,1,2,11,17,
1031,accepted,UpdateMapperPre,2,3,0,1,
1032,accepted,UpdateMapperPost,2,1,19,29,
1033,accepted,UpdateMapperPre,3,3,0,5,
1034,accepted,UpdateMapperPost,3,5,27,3,
1035,accepted,UpdateBrainEngine,4,1,0,2,
1036,accepted,UpdateBrainFlowState,4,1,33,2,
1037,accepted,UpdateMapperPre,4,1,0,1,
1038,accepted,UpdateMapperPost,4,1,33,10,
1039,accepted,UpdateBrainFlowState,4,1,34,2,
1040,accepted,UpdateMapperPre,4,2,0,1,
1041,accepted,UpdateMapperPost,4,1,34,10,
1042,accepted,UpdateBrainFlowState,4,1,35,2,
1043,accepted,UpdateMapperPre,4,3,0,1,
1044,accepted,UpdateMapperPost,4,1,35,10,
1045,accepted,UpdateMapperPost,4,1,39,9,
1046,accepted,PrefillPifo,4,1,39,0,
1046,dispatched,UpdateBrainEngine,1,2,0,2,
1047,accepted,UpdateRoot,4,1,0,0,
1047,dispatched,UpdateBrainFlowState,1,2,9,1,
1048,accepted,CommitMapper,1,0,0,0,
1048,dispatched,UpdateBrainFlowState,1,2,10,3,
1049,dispatched,UpdateBrainFlowState,1,2,11,3,
1050,dispatched,UpdateBrainEngine,2,1,0,1,
1051,dispatched,UpdateBrainEngine,3,3,0,3,
1052,dispatched,UpdateBrainEngine,3,4,0,3,
1053,dispatched,UpdateBrainEngine,3,5,0,3,
1054,dispatched,UpdateMapperPre,1,1,0,2,
1055,dispatched,UpdateMapperPost,1,2,9,27,
1056,dispatched,UpdateMapperPre,3,1,0,3,
1057,dispatched,UpdateMapperPost,3,3,25,1,
1058,dispatched,UpdateMapperPre,1,2,0,2,
1059,dispatched,UpdateMapperPost,1,2,10,17,
1060,dispatched,UpdateMapperPre,2,2,0,1,
1061,dispatched,UpdateMapperPost,2,1,18,28,
1062,dispatched,UpdateMapperPre,3,2,0,4,
1063,dispatched,UpdateMapperPost,3,4,26,2,
1064,dispatched,UpdateMapperPre,1,3,0,2,
1065,dispatched,UpdateMapperPost,1,2,11,17,
1066,dispatched,UpdateMapperPre,2,3,0,1,
1067,dispatched,UpdateMapperPost,2,1,19,29,
1068,dispatched,UpdateMapperPre,3,3,0,5,
1069,dispatched,UpdateMapperPost,3,5,27,3,
1070,dispatched,UpdateBrainEngine,4,1,0,2,
1071,dispatched,UpdateBrainFlowState,4,1,33,2,
1072,dispatched,UpdateMapperPre,4,1,0,1,
1073,dispatched,UpdateMapperPost,4,1,33,10,
1074,dispatched,UpdateBrainFlowState,4,1,34,2,
1075,dispatched,UpdateMapperPre,4,2,0,1,
1076,dispatched,UpdateMapperPost,4,1,34,10,
1077,dispatched,UpdateBrainFlowState,4,1,35,2,
1078,dispatched,UpdateMapperPre,4,3,0,1,
1079,dispatched,UpdateMapperPost,4,1,35,10,
1080,dispatched,UpdateMapperPost,4,1,39,9,
1081,dispatched,PrefillPifo,4,1,39,0,
1082,dispatched,UpdateRoot,4,1,0,0,
1185,dispatched,CommitMapper,1,0,0,0,
1185,committed,CommitMapper,1,0,0,0,
1186,replayed,UpdateMapperPre,1,1,0,2,
1187,replayed,UpdateMapperPost,1,2,9,27,
1188,replayed,UpdateMapperPre,3,1,0,3,
1189,replayed,UpdateMapperPost,3,3,25,1,
1190,replayed,UpdateMapperPre,1,2,0,2,
1191,replayed,UpdateMapperPost,1,2,10,17,
1192,replayed,UpdateMapperPre,2,2,0,1,
1193,replayed,UpdateMapperPost,2,1,18,28,
1194,replayed,UpdateMapperPre,3,2,0,4,
1195,replayed,UpdateMapperPost,3,4,26,2,
1196,replayed,UpdateMapperPre,1,3,0,2,
1197,replayed,UpdateMapperPost,1,2,11,17,
1198,replayed,UpdateMapperPre,2,3,0,1,
1199,replayed,UpdateMapperPost,2,1,19,29,
1200,replayed,UpdateMapperPre,3,3,0,5,
1201,replayed,UpdateMapperPost,3,5,27,3,
1204,replayed,UpdateMapperPre,4,1,0,1,
1205,replayed,UpdateMapperPost,4,1,33,10,
1207,replayed,UpdateMapperPre,4,2,0,1,
1208,replayed,UpdateMapperPost,4,1,34,10,
1210,replayed,UpdateMapperPre,4,3,0,1,
1211,replayed,UpdateMapperPost,4,1,35,10,
1212,replayed,UpdateMapperPost,4,1,39,9,
1216,accepted,GuardDrain,1,1,0,0,
1217,accepted,GuardDrain,3,1,0,0,
1218,accepted,GuardDrain,3,2,0,0,
1219,accepted,UpdateBrainEngine,1,1,0,0,
1220,accepted,UpdateBrainFlowState,1,1,9,0,
1221,accepted,UpdateBrainFlowState,1,1,10,0,
1222,accepted,UpdateBrainEngine,3,1,0,0,
1223,accepted,UpdateBrainEngine,3,2,0,0,
1224,accepted,UpdateMapperPost,1,1,9,0,
