cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2002,accepted,UpdateBrainEngine,1,2,0,2,
2003,accepted,UpdateBrainFlowState,1,2,9,1,
2004,accepted,UpdateBrainFlowState,1,2,10,3,
2004,dispatched,UpdateBrainEngine,1,2,0,2,
2005,accepted,UpdateBrainFlowState,1,2,11,3,
2005,dispatched,UpdateBrainFlowState,1,2,9,1,
2006,accepted,UpdateBrainEngine,2,1,0,1,
2006,dispatched,UpdateBrainFlowState,1,2,10,3,
2007,accepted,UpdateBrainEngine,3,3,0,3,
2007,dispatched,UpdateBrainFlowState,1,2,11,3,
2008,accepted,UpdateBrainEngine,3,4,0,3,
2008,dispatched,UpdateBrainEngine,2,1,0,1,
2009,accepted,UpdateBrainEngine,3,5,0,3,
2009,dispatched,UpdateBrainEngine,3,3,0,3,
2010,accepted,UpdateMapperPre,1,1,0,2,
2010,dispatched,UpdateBrainEngine,3,4,0,3,
2011,accepted,UpdateMapperPost,1,2,9,27,
2011,dispatched,UpdateBrainEngine,3,5,0,3,
2012,accepted,UpdateMapperPre,3,1,0,3,
2012,dispatched,UpdateMapperPre,1,1,0,2,
2013,accepted,UpdateMapperPost,3,3,25,1,
2013,dispatched,UpdateMapperPost,1,2,9,27,
2014,accepted,UpdateMapperPre,1,2,0,2,
2014,dispatched,UpdateMapperPre,3,1,0,3,
2015,accepted,UpdateMapperPost,1,2,10,17,
2015,dispatched,UpdateMapperPost,3,3,25,1,
2016,accepted,UpdateMapperPre,2,2,0,1,
2016,dispatched,UpdateMapperPre,1,2,0,2,
2017,accepted,UpdateMapperPost,2,1,18,28,
2017,dispatched,UpdateMapperPost,1,2,10,17,
2018,accepted,UpdateMapperPre,3,2,0,4,
2018,dispatched,UpdateMapperPre,2,2,0,1,
2019,accepted,UpdateMapperPost,3,4,26,2,
2019,dispatched,UpdateMapperPost,2,1,18,28,
2020,accepted,UpdateMapperPre,1,3,0,2,
2020,dispatched,UpdateMapperPre,3,2,0,4,
2021,accepted,UpdateMapperPost,1,2,11,17,
2021,dispatched,UpdateMapperPost,3,4,26,2,
2022,accepted,UpdateMapperPre,2,3,0,1,
2022,dispatched,UpdateMapperPre,1,3,0,2,
2023,accepted,UpdateMapperPost,2,1,19,29,
2023,dispatched,UpdateMapperPost,1,2,11,17,
2024,accepted,UpdateMapperPre,3,3,0,5,
2024,dispatched,UpdateMapperPre,2,3,0,1,
2025,accepted,UpdateMapperPost,3,5,27,3,
2025,dispatched,UpdateMapperPost,2,1,19,29,
2026,accepted,UpdateMapperNonExist,1,1,0,2,
2026,dispatched,UpdateMapperPre,3,3,0,5,
2027,dispatched,UpdateMapperPost,3,5,27,3,
2028,dispatched,UpdateMapperNonExist,1,1,0,2,
2033,accepted,CommitMapper,1,0,0,0,
2035,dispatched,CommitMapper,1,0,0,0,
2035,committed,CommitMapper,1,0,0,0,
2036,replayed,UpdateMapperPre,1,1,0,2,
2037,replayed,UpdateMapperPost,1,2,9,27,
2038,replayed,UpdateMapperPre,3,1,0,3,
2039,replayed,UpdateMapperPost,3,3,25,1,
2040,replayed,UpdateMapperPre,1,2,0,2,
2041,replayed,UpdateMapperPost,1,2,10,17,
2042,replayed,UpdateMapperPre,2,2,0,1,
2043,replayed,UpdateMapperPost,2,1,18,28,
2044,replayed,UpdateMapperPre,3,2,0,4,
2045,replayed,UpdateMapperPost,3,4,26,2,
2046,replayed,UpdateMapperPre,1,3,0,2,
2047,replayed,UpdateMapperPost,1,2,11,17,
2048,replayed,UpdateMapperPre,2,3,0,1,
2049,replayed,UpdateMapperPost,2,1,19,29,
2050,replayed,UpdateMapperPre,3,3,0,5,
2051,replayed,UpdateMapperPost,3,5,27,3,
2054,accepted,GuardDrain,1,1,0,0,
2055,accepted,GuardDrain,3,1,0,0,
2056,accepted,GuardDrain,3,2,0,0,
2057,accepted,UpdateBrainEngine,1,1,0,0,
2058,accepted,UpdateBrainFlowState,1,1,9,0,
2059,accepted,UpdateBrainFlowState,1,1,10,0,
2060,accepted,UpdateBrainEngine,3,1,0,0,
2061,accepted,UpdateBrainEngine,3,2,0,0,
