cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2500,driver_stop,1,1,253,260,4
2513,hardware_stop,1,1,253,258,5
2546,stop_snapshot,1,1,253,269,16
2546,copy_source,3,1,1,269,16
2546,copy_source,3,2,252,269,16
2801,copy_source,1,1,253,337,84
3108,prefill_started,1,1,253,418,165
3362,prefill_finished,1,1,253,486,233
3362,root_detached,1,1,253,486,233
3362,root_published,1,1,253,486,233
3362,drain_watch_armed,2,1,253,486,233
3362,driver_resume,1,1,253,486,233
3363,hardware_resume,1,1,253,486,233
4150,root_detached,1,1,432,439,3
4150,root_published,2,2,434,439,3
4165,clear_engine,1,0,431,438,3
