cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2500,driver_stop,1,1,169,177,3
2514,hardware_stop,1,1,170,174,4
2547,stop_snapshot,1,1,170,185,15
2582,prefill_started,4,1,170,194,24
2753,prefill_finished,4,1,170,238,68
2753,root_detached,1,1,170,238,68
2753,root_published,4,1,170,238,68
2753,drain_watch_armed,1,1,170,238,68
2753,driver_resume,1,1,170,238,68
2754,hardware_resume,1,1,170,238,67
3292,root_detached,4,1,202,207,0
3292,root_published,1,2,204,207,0
3307,clear_engine,4,0,202,206,0
