cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
5009,accepted,StopWorld,1,1,0,0,
5010,accepted,CopyPifoEngine,3,0,0,4,
5011,accepted,CopyPifoEngine,1,0,0,2,
5011,dispatched,StopWorld,1,1,0,0,
5012,accepted,UpdateBrainEngine,1,1,0,0,
5013,accepted,UpdateBrainFlowState,1,1,9,0,
5014,accepted,UpdateBrainFlowState,1,1,10,0,
5015,accepted,UpdateBrainEngine,3,1,0,0,
5016,accepted,UpdateBrainEngine,3,2,0,0,
5017,accepted,UpdateMapperPre,1,1,0,0,
5018,accepted,UpdateMapperPost,1,1,9,0,
5019,accepted,UpdateMapperPre,3,1,0,0,
5020,accepted,UpdateMapperPost,3,1,25,0,
5021,accepted,UpdateMapperPre,1,2,0,0,
5022,accepted,UpdateMapperPost,1,1,10,0,
5023,accepted,UpdateMapperPre,3,2,0,0,
5024,accepted,UpdateMapperPost,3,2,26,0,
5025,accepted,UpdateMapperPost,2,1,9,33,
5026,accepted,UpdateMapperPost,4,1,25,1,
5027,accepted,UpdateMapperPost,2,1,10,34,
5028,accepted,UpdateMapperPost,4,2,26,2,
5029,accepted,UpdateBrainEngine,2,2,0,2,
5030,accepted,UpdateBrainFlowState,2,2,17,1,
5031,accepted,UpdateBrainFlowState,2,2,18,3,
5032,accepted,UpdateBrainFlowState,2,2,19,3,
5033,accepted,UpdateBrainEngine,3,1,0,1,
5034,accepted,UpdateBrainEngine,4,3,0,3,
5035,accepted,UpdateBrainEngine,4,4,0,3,
5036,accepted,UpdateBrainEngine,4,5,0,3,
5037,accepted,UpdateMapperPre,2,1,0,2,
5038,accepted,UpdateMapperPost,2,2,17,35,
5039,accepted,UpdateMapperPre,4,1,0,3,
5040,accepted,UpdateMapperPost,4,3,33,1,
5041,accepted,UpdateMapperPre,2,2,0,2,
5042,accepted,UpdateMapperPost,2,2,18,25,
5043,accepted,UpdateMapperPre,3,2,0,1,
5044,accepted,UpdateMapperPost,3,1,26,36,
5045,accepted,UpdateMapperPre,4,2,0,4,
5045,dispatched,CopyPifoEngine,3,0,0,4,
5046,accepted,UpdateMapperPost,4,4,34,2,
5047,accepted,UpdateMapperPre,2,3,0,2,
5048,accepted,UpdateMapperPost,2,2,19,25,
5049,accepted,UpdateMapperPre,3,3,0,1,
5050,accepted,UpdateMapperPost,3,1,27,37,
5051,accepted,UpdateMapperPre,4,3,0,5,
5052,accepted,UpdateMapperPost,4,5,35,3,
5053,accepted,UpdateBrainEngine,1,1,0,2,
5054,accepted,UpdateBrainFlowState,1,1,9,2,
5055,accepted,UpdateMapperPre,1,1,0,1,
5056,accepted,UpdateMapperPost,1,1,9,18,
5057,accepted,UpdateBrainFlowState,1,1,10,2,
5058,accepted,UpdateMapperPre,1,2,0,1,
5059,accepted,UpdateMapperPost,1,1,10,18,
5060,accepted,UpdateBrainFlowState,1,1,11,2,
5061,accepted,UpdateMapperPre,1,3,0,1,
5062,accepted,UpdateMapperPost,1,1,11,18,
5063,accepted,UpdateMapperPost,1,1,15,17,
5064,accepted,PrefillPifo,1,1,15,0,
5065,accepted,UpdateRoot,1,1,0,0,
5066,accepted,CommitMapper,1,0,0,0,
5549,copy_finished,CopyPifoEngine,3,0,0,4,503
5550,dispatched,CopyPifoEngine,1,0,0,2,
6054,copy_finished,CopyPifoEngine,1,0,0,2,503
6055,dispatched,UpdateBrainEngine,1,1,0,0,
6056,dispatched,UpdateBrainFlowState,1,1,9,0,
6057,dispatched,UpdateBrainFlowState,1,1,10,0,
6058,dispatched,UpdateBrainEngine,3,1,0,0,
6059,dispatched,UpdateBrainEngine,3,2,0,0,
6060,dispatched,UpdateMapperPre,1,1,0,0,
6061,dispatched,UpdateMapperPost,1,1,9,0,
6062,dispatched,UpdateMapperPre,3,1,0,0,
6063,dispatched,UpdateMapperPost,3,1,25,0,
6064,dispatched,UpdateMapperPre,1,2,0,0,
6065,dispatched,UpdateMapperPost,1,1,10,0,
6066,dispatched,UpdateMapperPre,3,2,0,0,
6067,dispatched,UpdateMapperPost,3,2,26,0,
6068,dispatched,UpdateMapperPost,2,1,9,33,
6069,dispatched,UpdateMapperPost,4,1,25,1,
6070,dispatched,UpdateMapperPost,2,1,10,34,
6071,dispatched,UpdateMapperPost,4,2,26,2,
6072,dispatched,UpdateBrainEngine,2,2,0,2,
6073,dispatched,UpdateBrainFlowState,2,2,17,1,
6074,dispatched,UpdateBrainFlowState,2,2,18,3,
6075,dispatched,UpdateBrainFlowState,2,2,19,3,
6076,dispatched,UpdateBrainEngine,3,1,0,1,
6077,dispatched,UpdateBrainEngine,4,3,0,3,
6078,dispatched,UpdateBrainEngine,4,4,0,3,
6079,dispatched,UpdateBrainEngine,4,5,0,3,
6080,dispatched,UpdateMapperPre,2,1,0,2,
6081,dispatched,UpdateMapperPost,2,2,17,35,
6082,dispatched,UpdateMapperPre,4,1,0,3,
6083,dispatched,UpdateMapperPost,4,3,33,1,
6084,dispatched,UpdateMapperPre,2,2,0,2,
6085,dispatched,UpdateMapperPost,2,2,18,25,
6086,dispatched,UpdateMapperPre,3,2,0,1,
6087,dispatched,UpdateMapperPost,3,1,26,36,
6088,dispatched,UpdateMapperPre,4,2,0,4,
6089,dispatched,UpdateMapperPost,4,4,34,2,
6090,dispatched,UpdateMapperPre,2,3,0,2,
6091,dispatched,UpdateMapperPost,2,2,19,25,
6092,dispatched,UpdateMapperPre,3,3,0,1,
6093,dispatched,UpdateMapperPost,3,1,27,37,
6094,dispatched,UpdateMapperPre,4,3,0,5,
6095,dispatched,UpdateMapperPost,4,5,35,3,
6096,dispatched,UpdateBrainEngine,1,1,0,2,
6097,dispatched,UpdateBrainFlowState,1,1,9,2,
6098,dispatched,UpdateMapperPre,1,1,0,1,
6099,dispatched,UpdateMapperPost,1,1,9,18,
6100,dispatched,UpdateBrainFlowState,1,1,10,2,
6101,dispatched,UpdateMapperPre,1,2,0,1,
6102,dispatched,UpdateMapperPost,1,1,10,18,
6103,dispatched,UpdateBrainFlowState,1,1,11,2,
6104,dispatched,UpdateMapperPre,1,3,0,1,
6105,dispatched,UpdateMapperPost,1,1,11,18,
6106,dispatched,UpdateMapperPost,1,1,15,17,
6107,dispatched,PrefillPifo,1,1,15,0,
6108,dispatched,UpdateRoot,1,1,0,0,
6611,dispatched,CommitMapper,1,0,0,0,
6611,committed,CommitMapper,1,0,0,0,
6612,replayed,UpdateMapperPre,1,1,0,0,
6613,replayed,UpdateMapperPost,1,1,9,0,
6614,replayed,UpdateMapperPre,3,1,0,0,
6615,replayed,UpdateMapperPost,3,1,25,0,
6616,replayed,UpdateMapperPre,1,2,0,0,
6617,replayed,UpdateMapperPost,1,1,10,0,
6618,replayed,UpdateMapperPre,3,2,0,0,
6619,replayed,UpdateMapperPost,3,2,26,0,
6620,replayed,UpdateMapperPost,2,1,9,33,
6621,replayed,UpdateMapperPost,4,1,25,1,
6622,replayed,UpdateMapperPost,2,1,10,34,
6623,replayed,UpdateMapperPost,4,2,26,2,
6632,replayed,UpdateMapperPre,2,1,0,2,
6633,replayed,UpdateMapperPost,2,2,17,35,
6634,replayed,UpdateMapperPre,4,1,0,3,
6635,replayed,UpdateMapperPost,4,3,33,1,
6636,replayed,UpdateMapperPre,2,2,0,2,
6637,replayed,UpdateMapperPost,2,2,18,25,
6638,replayed,UpdateMapperPre,3,2,0,1,
6639,replayed,UpdateMapperPost,3,1,26,36,
6640,replayed,UpdateMapperPre,4,2,0,4,
6641,replayed,UpdateMapperPost,4,4,34,2,
6642,replayed,UpdateMapperPre,2,3,0,2,
6643,replayed,UpdateMapperPost,2,2,19,25,
6644,replayed,UpdateMapperPre,3,3,0,1,
6645,replayed,UpdateMapperPost,3,1,27,37,
6646,replayed,UpdateMapperPre,4,3,0,5,
6647,replayed,UpdateMapperPost,4,5,35,3,
6650,replayed,UpdateMapperPre,1,1,0,1,
6651,replayed,UpdateMapperPost,1,1,9,18,
6653,replayed,UpdateMapperPre,1,2,0,1,
6654,replayed,UpdateMapperPost,1,1,10,18,
6656,replayed,UpdateMapperPre,1,3,0,1,
6657,replayed,UpdateMapperPost,1,1,11,18,
6658,replayed,UpdateMapperPost,1,1,15,17,
