platform,vflows,variant,resource,value,source
quartus,32,static,logic_alms,1385.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,64,static,logic_alms,2077.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,128,static,logic_alms,4068.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,256,static,logic_alms,10528.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,512,static,logic_alms,87531.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,1024,static,logic_alms,249166.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,logic_alms,3565.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,64,dynamic,logic_alms,6097.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,128,dynamic,logic_alms,9593.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,256,dynamic,logic_alms,66104.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
quartus,512,dynamic,logic_alms,199435.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,logic_alms,526738.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
vivado,32,static,logic_luts,3309.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,64,static,logic_luts,3684.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,128,static,logic_luts,7362.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,256,static,logic_luts,26859.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,512,static,logic_luts,64537.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,1024,static,logic_luts,219107.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,logic_luts,3853.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,logic_luts,5991.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,logic_luts,14035.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,logic_luts,37402.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,logic_luts,86161.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,logic_luts,345710.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
