platform,vflows,variant,resource,value,source
quartus,32,static,registers,1303.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,64,static,registers,1401.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,128,static,registers,1499.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,256,static,registers,1597.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,512,static,registers,70950.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,1024,static,registers,145293.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,registers,3080.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,64,dynamic,registers,4998.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,128,dynamic,registers,8996.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,256,dynamic,registers,61244.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
quartus,512,dynamic,registers,127982.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,registers,268960.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
vivado,32,static,registers,2036.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,64,static,registers,2886.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,128,static,registers,6107.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,256,static,registers,17826.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,512,static,registers,37735.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,1024,static,registers,84909.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,registers,2355.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,registers,4216.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,registers,8707.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,registers,18221.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,registers,35875.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,registers,76037.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
