platform,resource,latency_1,latency_8,absolute_change,percent_change
quartus,logic_alms,359.0,359.0,0.0,0.0
quartus,logic_aluts,286.0,285.0,-1.0,-0.34965034965034963
quartus,registers,7.0,84.0,77.0,1100.0
quartus,block_memory_bits,1310720.0,1310720.0,0.0,0.0
quartus,mlab_memory_bits,0.0,0.0,0.0,
quartus,dsp_blocks,0.0,0.0,0.0,
vivado,logic_luts,102.0,111.0,9.0,8.823529411764707
vivado,registers,3.0,20.0,17.0,566.6666666666666
vivado,bram36_tiles,36.0,36.0,0.0,0.0
vivado,bram_uram_allocated_bits,1327104.0,1327104.0,0.0,0.0
vivado,lutram_luts,0.0,10.0,10.0,
vivado,uram288_blocks,0.0,0.0,0.0,
vivado,dsp_blocks,0.0,0.0,0.0,
