platform,vflows,variant,resource,value,source
quartus,32,dynamic,block_memory_bits,1644972.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,logic_alms,3565.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,logic_aluts,4188.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,registers,3080.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,1397612.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,dsp_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,logic_alms,3136.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,logic_aluts,3856.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,mlab_memory_bits,0.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,registers,2885.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,static,block_memory_bits,659532.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,logic_alms,1385.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,logic_aluts,1800.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,registers,1303.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,64,dynamic,block_memory_bits,7222952.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,64,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,64,dynamic,logic_alms,6097.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,64,dynamic,logic_aluts,6799.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,64,dynamic,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,64,dynamic,registers,4998.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
quartus,64,static,block_memory_bits,2793512.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,logic_alms,2077.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,logic_aluts,2341.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,registers,1401.0,../r2-vflows/runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
