platform,vflows,resource,one_pifo,pifo_count,pifo_total,measurement_kind,source
quartus,32,logic_alms,51347,5,256735,sum_of_isolated_components,runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json
quartus,32,logic_aluts,61966,5,309830,sum_of_isolated_components,runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json
quartus,32,registers,21544,5,107720,sum_of_isolated_components,runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json
quartus,32,block_memory_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json
quartus,32,mlab_memory_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json
quartus,32,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json
quartus,64,logic_alms,49892,5,249460,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json
quartus,64,logic_aluts,71334,5,356670,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json
quartus,64,registers,23595,5,117975,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json
quartus,64,block_memory_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json
quartus,64,mlab_memory_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json
quartus,64,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json
quartus,128,logic_alms,53095,5,265475,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json
quartus,128,logic_aluts,74764,5,373820,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json
quartus,128,registers,25646,5,128230,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json
quartus,128,block_memory_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json
quartus,128,mlab_memory_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json
quartus,128,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json
