platform,vflows,configuration,resource,whole_mesh,rio_only,residual,residual_percent_of_whole,interpretation
quartus,32,static,logic_alms,217237,1385,215852,99.3624474652108,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,static,logic_aluts,336940,1800,335140,99.46578025761264,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,static,registers,108993,1303,107690,98.80451038140065,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,static,block_memory_bits,659532,659532,0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,static,mlab_memory_bits,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,static,dsp_blocks,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,dynamic,logic_alms,227676,3565,224111,98.43417839385793,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,dynamic,logic_aluts,362361,4188,358173,98.84424648347918,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,dynamic,registers,110800,3080,107720,97.2202166064982,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,dynamic,block_memory_bits,1644972,1644972,0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,dynamic,mlab_memory_bits,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
quartus,32,dynamic,dsp_blocks,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,static,logic_luts,512909,3309,509600,99.35485631954207,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,static,registers,109975,2036,107939,98.14867015230735,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,static,bram36_tiles,30.0,30.0,0.0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,static,uram288_blocks,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,static,bram_uram_allocated_bits,1105920,1105920,0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,static,lutram_luts,532,532,0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,static,dsp_blocks,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,dynamic,logic_luts,513506,3853,509653,99.24966796882607,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,dynamic,registers,110340,2355,107985,97.86568787384448,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,dynamic,bram36_tiles,60.0,60.0,0.0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,dynamic,uram288_blocks,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,dynamic,bram_uram_allocated_bits,2211840,2211840,0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,dynamic,lutram_luts,592,592,0,0.0,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
vivado,32,dynamic,dsp_blocks,0,0,0,,whole-minus-isolated; includes boundary optimization; not standalone PIFO measurement
