platform,vflows,configuration,resource,used,available,utilization_percent,exceeds_capacity,measurement_kind
quartus,1024,static,logic_alms,540241.0,487200,110.88690476190476,True,sum_of_synthesized_components
quartus,1024,replay,logic_alms,646907.0,487200,132.7805829228243,True,sum_of_synthesized_components
vivado,1024,static,logic_luts,827297.0,216960,381.313145280236,True,sum_of_synthesized_components
vivado,1024,static,registers,244139.0,433920,56.26359697640118,False,sum_of_synthesized_components
vivado,1024,static,bram36_tiles,35850.0,480,7468.75,True,sum_of_synthesized_components
vivado,1024,static,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,1024,static,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
vivado,1024,replay,logic_luts,916986.0,216960,422.6521017699115,True,sum_of_synthesized_components
vivado,1024,replay,registers,233045.0,433920,53.70690449852508,False,sum_of_synthesized_components
vivado,1024,replay,bram36_tiles,51230.5,480,10673.020833333334,True,sum_of_synthesized_components
vivado,1024,replay,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,1024,replay,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
