platform,vflows,resource,unit,static,dynamic,absolute_change,percent_change
quartus,1024,block_memory_bits,bits,880804632,2516583192,1635778560,185.7141187241168
quartus,1024,dsp_blocks,blocks,0,0,0,
quartus,1024,logic_alms,ALMs,249166,526738,277572,111.40043184062031
quartus,1024,logic_aluts,ALUTs,257723,665003,407280,158.03013312742752
quartus,1024,registers,bits,145293,268960,123667,85.11559400659357
vivado,1024,bram36_tiles,tiles,35850.0,81937.5,46087.5,128.55648535564853
vivado,1024,bram_uram_allocated_bits,bits,1321574400,3020544000,1698969600,128.55648535564853
vivado,1024,dsp_blocks,blocks,0,0,0,
vivado,1024,logic_luts,LUTs,219107,345710,126603,57.78135796665556
vivado,1024,lutram_luts,LUTs,824,824,0,0.0
vivado,1024,registers,bits,84909,76037,-8872,-10.448833456995136
vivado,1024,uram288_blocks,blocks,0,0,0,
