platform,vflows,configuration,resource,unit,value,part,source
vivado,1024,static,logic_luts,LUTs,219107,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,registers,bits,84909,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,tiles,35850.0,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,bits,1321574400,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,lutram_luts,LUTs,824,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,dsp_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,dynamic,logic_luts,LUTs,345710,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,registers,bits,76037,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram36_tiles,tiles,81937.5,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,uram288_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,bits,3020544000,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,lutram_luts,LUTs,824,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,dsp_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
