platform,vflows,configuration,resource,unit,value,source
quartus,1024,static,logic_alms,ALMs,249166,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,logic_aluts,ALUTs,257723,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,registers,bits,145293,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,block_memory_bits,bits,880804632,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,mlab_memory_bits,bits,0,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,dsp_blocks,blocks,0,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,replay,logic_alms,ALMs,355832,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay,logic_aluts,ALUTs,446357,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay,registers,bits,268415,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay,block_memory_bits,bits,1426719512,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay,mlab_memory_bits,bits,0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay,dsp_blocks,blocks,0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
vivado,1024,static,logic_luts,LUTs,219107,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,registers,bits,84909,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,tiles,35850.0,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,blocks,0,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,bits,1321574400,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,lutram_luts,LUTs,824,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,dsp_blocks,blocks,0,../r2-vflows/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,replay,logic_luts,LUTs,308796,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,registers,bits,73815,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,tiles,51230.5,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,blocks,0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,bits,1888561152,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,lutram_luts,LUTs,824,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,dsp_blocks,blocks,0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
