platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
quartus,32,logic_alms,ALMs,1385,3136,51347.0,5,256735.0,258120.0,259871.0,1751,0.6783666511699985,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,32,logic_aluts,ALUTs,1800,3856,61966.0,5,309830.0,311630.0,313686.0,2056,0.6597567628277123,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,32,registers,bits,1303,2885,21544.0,5,107720.0,109023.0,110605.0,1582,1.4510699577153445,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,32,block_memory_bits,bits,659532,1397612,0.0,5,0.0,659532.0,1397612.0,738080,111.90965715082817,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,32,mlab_memory_bits,bits,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,32,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,32,logic_luts,LUTs,3309,4011,101461.0,5,507305.0,510614.0,511316.0,702,0.13748154183003208,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,32,registers,bits,2036,2125,21591.0,5,107955.0,109991.0,110080.0,89,0.08091571128546882,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,32,bram36_tiles,tiles,30.0,51.5,0.0,5,0.0,30.0,51.5,21.5,71.66666666666667,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,32,uram288_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,32,bram_uram_allocated_bits,bits,1105920,1898496,0.0,5,0.0,1105920.0,1898496.0,792576,71.66666666666667,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,32,lutram_luts,LUTs,532,552,0.0,5,0.0,532.0,552.0,20,3.7593984962406015,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,32,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,64,logic_alms,ALMs,2077,4950,49892.0,5,249460.0,251537.0,254410.0,2873,1.1421778903302495,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,64,logic_aluts,ALUTs,2341,6101,71334.0,5,356670.0,359011.0,362771.0,3760,1.0473216698095602,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,64,registers,bits,1401,4753,23595.0,5,117975.0,119376.0,122728.0,3352,2.8079345932180675,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,64,block_memory_bits,bits,2793512,4728744,0.0,5,0.0,2793512.0,4728744.0,1935232,69.2759508461034,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,64,mlab_memory_bits,bits,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,64,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,64,logic_luts,LUTs,3684,5739,101751.0,5,508755.0,512439.0,514494.0,2055,0.40102334131477113,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,64,registers,bits,2886,3918,23636.0,5,118180.0,121066.0,122098.0,1032,0.8524276014735764,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,64,bram36_tiles,tiles,120.0,172.5,0.0,5,0.0,120.0,172.5,52.5,43.75,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,64,uram288_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,64,bram_uram_allocated_bits,bits,4423680,6359040,0.0,5,0.0,4423680.0,6359040.0,1935360,43.75,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,64,lutram_luts,LUTs,612,652,0.0,5,0.0,612.0,652.0,40,6.5359477124183005,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,64,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,128,logic_alms,ALMs,4068,10291,53095.0,5,265475.0,269543.0,275766.0,6223,2.3087225414868873,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,128,logic_aluts,ALUTs,4424,12754,74764.0,5,373820.0,378244.0,386574.0,8330,2.202282124766024,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,128,registers,bits,1499,8701,25646.0,5,128230.0,129729.0,136931.0,7202,5.551572894264197,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,128,block_memory_bits,bits,11813092,18879076,0.0,5,0.0,11813092.0,18879076.0,7065984,59.814856262864964,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,128,mlab_memory_bits,bits,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,128,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,logic_luts,LUTs,7362,13567,104800.0,5,524000.0,531362.0,537567.0,6205,1.1677538100202876,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,registers,bits,6107,7837,25676.0,5,128380.0,134487.0,136217.0,1730,1.2863696862893812,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
