platform,vflows,configuration,resource,used,available,utilization_percent,exceeds_capacity,measurement_kind
quartus,32,static,logic_alms,258120.0,487200,52.98029556650246,False,sum_of_synthesized_components
quartus,32,replay,logic_alms,259871.0,487200,53.33969622331691,False,sum_of_synthesized_components
vivado,32,static,logic_luts,510614.0,216960,235.34937315634218,True,sum_of_synthesized_components
vivado,32,static,registers,109991.0,433920,25.34822087020649,False,sum_of_synthesized_components
vivado,32,static,bram36_tiles,30.0,480,6.25,False,sum_of_synthesized_components
vivado,32,static,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,32,static,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
vivado,32,replay,logic_luts,511316.0,216960,235.67293510324484,True,sum_of_synthesized_components
vivado,32,replay,registers,110080.0,433920,25.36873156342183,False,sum_of_synthesized_components
vivado,32,replay,bram36_tiles,51.5,480,10.729166666666666,False,sum_of_synthesized_components
vivado,32,replay,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,32,replay,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
quartus,64,static,logic_alms,251537.0,487200,51.62910509031199,False,sum_of_synthesized_components
quartus,64,replay,logic_alms,254410.0,487200,52.2188013136289,False,sum_of_synthesized_components
vivado,64,static,logic_luts,512439.0,216960,236.19054203539824,True,sum_of_synthesized_components
vivado,64,static,registers,121066.0,433920,27.90053466076696,False,sum_of_synthesized_components
vivado,64,static,bram36_tiles,120.0,480,25.0,False,sum_of_synthesized_components
vivado,64,static,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,64,static,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
vivado,64,replay,logic_luts,514494.0,216960,237.13772123893804,True,sum_of_synthesized_components
vivado,64,replay,registers,122098.0,433920,28.138366519174042,False,sum_of_synthesized_components
vivado,64,replay,bram36_tiles,172.5,480,35.9375,False,sum_of_synthesized_components
vivado,64,replay,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,64,replay,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
quartus,128,static,logic_alms,269543.0,487200,55.32491789819376,False,sum_of_synthesized_components
quartus,128,replay,logic_alms,275766.0,487200,56.60221674876847,False,sum_of_synthesized_components
vivado,128,static,logic_luts,531362.0,216960,244.91242625368733,True,sum_of_synthesized_components
vivado,128,static,registers,134487.0,433920,30.99350110619469,False,sum_of_synthesized_components
vivado,128,static,bram36_tiles,500.0,480,104.16666666666667,True,sum_of_synthesized_components
vivado,128,static,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,128,static,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
vivado,128,replay,logic_luts,537567.0,216960,247.77240044247787,True,sum_of_synthesized_components
vivado,128,replay,registers,136217.0,433920,31.392192109144542,False,sum_of_synthesized_components
vivado,128,replay,bram36_tiles,694.0,480,144.58333333333334,True,sum_of_synthesized_components
vivado,128,replay,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,128,replay,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
quartus,256,static,logic_alms,284783.0,487200,58.45299671592775,False,sum_of_synthesized_components
quartus,256,replay,logic_alms,303762.0,487200,62.34852216748769,False,sum_of_synthesized_components
vivado,256,static,logic_luts,574949.0,216960,265.0023045722714,True,sum_of_synthesized_components
vivado,256,static,registers,156481.0,433920,36.06217735988201,False,sum_of_synthesized_components
vivado,256,static,bram36_tiles,2082.5,480,433.8541666666667,True,sum_of_synthesized_components
vivado,256,static,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,256,static,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
vivado,256,replay,logic_luts,579089.0,216960,266.91049041297936,True,sum_of_synthesized_components
vivado,256,replay,registers,155003.0,433920,35.72156157817109,False,sum_of_synthesized_components
vivado,256,replay,bram36_tiles,2898.0,480,603.75,True,sum_of_synthesized_components
vivado,256,replay,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,256,replay,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
quartus,512,static,logic_alms,365681.0,487200,75.05767651888341,False,sum_of_synthesized_components
quartus,512,replay,logic_alms,415439.0,487200,85.27073070607554,False,sum_of_synthesized_components
vivado,512,static,logic_luts,676492.0,216960,311.8049410029499,True,sum_of_synthesized_components
vivado,512,static,registers,186650.0,433920,43.01484144542773,False,sum_of_synthesized_components
vivado,512,static,bram36_tiles,8647.5,480,1801.5625,True,sum_of_synthesized_components
vivado,512,static,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,512,static,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
vivado,512,replay,logic_luts,695198.0,216960,320.42680678466076,True,sum_of_synthesized_components
vivado,512,replay,registers,183252.0,433920,42.23174778761062,False,sum_of_synthesized_components
vivado,512,replay,bram36_tiles,12186.5,480,2538.8541666666665,True,sum_of_synthesized_components
vivado,512,replay,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,512,replay,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
quartus,1024,static,logic_alms,540241.0,487200,110.88690476190476,True,sum_of_synthesized_components
quartus,1024,replay,logic_alms,646907.0,487200,132.7805829228243,True,sum_of_synthesized_components
vivado,1024,static,logic_luts,827297.0,216960,381.313145280236,True,sum_of_synthesized_components
vivado,1024,static,registers,244139.0,433920,56.26359697640118,False,sum_of_synthesized_components
vivado,1024,static,bram36_tiles,35850.0,480,7468.75,True,sum_of_synthesized_components
vivado,1024,static,uram288_blocks,0.0,64,0.0,False,sum_of_synthesized_components
vivado,1024,static,dsp_blocks,0.0,1824,0.0,False,sum_of_synthesized_components
vivado,1024,replay,logic_luts,916986.0,216960,422.6521017699115,True,sum_of_synthesized_components
