platform,vflows,configuration,resource,unit,value,part,source
quartus,32,static,logic_alms,ALMs,1385,AGFB014R24B2E2V,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,logic_alms,ALMs,3565,AGFB014R24B2E2V,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
vivado,32,static,logic_luts,LUTs,3309,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,logic_luts,LUTs,3853,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
quartus,64,static,logic_alms,ALMs,2077,AGFB014R24B2E2V,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,dynamic,logic_alms,ALMs,6097,AGFB014R24B2E2V,runs/rio-only-pe5-v64-c1024-dynamic-quartus/resource-summary.json
vivado,64,static,logic_luts,LUTs,3684,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,dynamic,logic_luts,LUTs,5991,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v64-c1024-dynamic-vivado/resource-summary.json
quartus,128,static,logic_alms,ALMs,4068,AGFB014R24B2E2V,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,dynamic,logic_alms,ALMs,9593,AGFB014R24B2E2V,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
vivado,128,static,logic_luts,LUTs,7362,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,dynamic,logic_luts,LUTs,14035,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
quartus,256,static,logic_alms,ALMs,10528,AGFB014R24B2E2V,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,256,dynamic,logic_alms,ALMs,66104,AGFB014R24B2E2V,runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
vivado,256,static,logic_luts,LUTs,26859,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,256,dynamic,logic_luts,LUTs,37402,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
quartus,512,static,logic_alms,ALMs,87531,AGFB014R24B2E2V,runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,512,dynamic,logic_alms,ALMs,199435,AGFB014R24B2E2V,runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
vivado,512,static,logic_luts,LUTs,64537,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,512,dynamic,logic_luts,LUTs,86161,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,1024,static,logic_luts,LUTs,219107,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,dynamic,logic_luts,LUTs,345710,xcku5p-ffvb676-2-e,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
