platform,vflows,configuration,resource,unit,rio_only,pifo_one,pifo_count,pifo_total,value,source,pifo_source,measurement_kind
quartus,32,static,block_memory_bits,bits,659532,0.0,5,0.0,659532.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,block_memory_bits,bits,1397612,0.0,5,0.0,1397612.0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
vivado,32,static,bram36_tiles,tiles,30.0,0.0,5,0.0,30.0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,bram36_tiles,tiles,51.5,0.0,5,0.0,51.5,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
quartus,64,static,block_memory_bits,bits,2793512,0.0,5,0.0,2793512.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,block_memory_bits,bits,4728744,0.0,5,0.0,4728744.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
vivado,64,static,bram36_tiles,tiles,120.0,0.0,5,0.0,120.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,bram36_tiles,tiles,172.5,0.0,5,0.0,172.5,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,block_memory_bits,bits,11813092,0.0,5,0.0,11813092.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,block_memory_bits,bits,18879076,0.0,5,0.0,18879076.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
