platform,vflows,configuration,resource,unit,rio_only,pifo_one,pifo_count,pifo_total,value,source,pifo_source,measurement_kind
quartus,32,static,registers,bits,1303,21544.0,5,107720.0,109023.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,registers,bits,2885,21544.0,5,107720.0,110605.0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
vivado,32,static,registers,bits,2036,21591.0,5,107955.0,109991.0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,registers,bits,2125,21591.0,5,107955.0,110080.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
quartus,64,static,registers,bits,1401,23595.0,5,117975.0,119376.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,registers,bits,4753,23595.0,5,117975.0,122728.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
vivado,64,static,registers,bits,2886,23636.0,5,118180.0,121066.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,registers,bits,3918,23636.0,5,118180.0,122098.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,registers,bits,1499,25646.0,5,128230.0,129729.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,registers,bits,8701,25646.0,5,128230.0,136931.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
vivado,128,static,registers,bits,6107,25676.0,5,128380.0,134487.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,registers,bits,7837,25676.0,5,128380.0,136217.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
quartus,256,static,registers,bits,1597,27697.0,5,138485.0,140082.0,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,registers,bits,17129,27697.0,5,138485.0,155614.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
vivado,256,static,registers,bits,17826,27731.0,5,138655.0,156481.0,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,registers,bits,16348,27731.0,5,138655.0,155003.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
quartus,512,static,registers,bits,70950,29748.0,5,148740.0,219690.0,runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v512-c1024-t12-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,registers,bits,127497,29748.0,5,148740.0,276237.0,../replay-sweep/runs/rio-replay-pe5-v512-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v512-c1024-t12-quartus/resource-summary.json,sum_of_synthesized_components
vivado,512,static,registers,bits,37735,29783.0,5,148915.0,186650.0,runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json,sum_of_synthesized_components
