platform,vflows,configuration,resource,unit,rio_only,pifo_one,pifo_count,pifo_total,value,source,pifo_source,measurement_kind
quartus,32,static,logic_alms,ALMs,1385,51347.0,5,256735.0,258120.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,logic_aluts,ALUTs,1800,61966.0,5,309830.0,311630.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,registers,bits,1303,21544.0,5,107720.0,109023.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,block_memory_bits,bits,659532,0.0,5,0.0,659532.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,dsp_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,logic_alms,ALMs,3136,51347.0,5,256735.0,259871.0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,logic_aluts,ALUTs,3856,61966.0,5,309830.0,313686.0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,registers,bits,2885,21544.0,5,107720.0,110605.0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,block_memory_bits,bits,1397612,0.0,5,0.0,1397612.0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-quartus/resource-summary.json,sum_of_synthesized_components
