platform,vflows,baseline,resource,baseline_value,replay_value,absolute_change,percent_change
quartus,32,static,logic_alms,1385,3136,1751,126.4259927797834
quartus,32,static,logic_aluts,1800,3856,2056,114.22222222222223
quartus,32,static,registers,1303,2885,1582,121.41212586339218
quartus,32,static,block_memory_bits,659532,1397612,738080,111.90965715082817
quartus,32,static,mlab_memory_bits,0,0,0,
quartus,32,static,dsp_blocks,0,0,0,
quartus,32,dynamic,logic_alms,3565,3136,-429,-12.03366058906031
quartus,32,dynamic,logic_aluts,4188,3856,-332,-7.9274116523400195
quartus,32,dynamic,registers,3080,2885,-195,-6.3311688311688314
quartus,32,dynamic,block_memory_bits,1644972,1397612,-247360,-15.03733802155903
quartus,32,dynamic,mlab_memory_bits,0,0,0,
quartus,32,dynamic,dsp_blocks,0,0,0,
vivado,32,static,logic_luts,3309,4011,702,21.214868540344515
vivado,32,static,registers,2036,2125,89,4.3713163064833
vivado,32,static,bram36_tiles,30.0,51.5,21.5,71.66666666666667
vivado,32,static,uram288_blocks,0,0,0,
vivado,32,static,bram_uram_allocated_bits,1105920,1898496,792576,71.66666666666667
vivado,32,static,lutram_luts,532,552,20,3.7593984962406015
vivado,32,static,dsp_blocks,0,0,0,
vivado,32,dynamic,logic_luts,3853,4011,158,4.100700752660265
vivado,32,dynamic,registers,2355,2125,-230,-9.766454352441613
vivado,32,dynamic,bram36_tiles,60.0,51.5,-8.5,-14.166666666666666
vivado,32,dynamic,uram288_blocks,0,0,0,
vivado,32,dynamic,bram_uram_allocated_bits,2211840,1898496,-313344,-14.166666666666666
vivado,32,dynamic,lutram_luts,592,552,-40,-6.756756756756757
vivado,32,dynamic,dsp_blocks,0,0,0,
quartus,128,static,logic_alms,4068,10251,6183,151.99115044247787
quartus,128,static,logic_aluts,4424,12754,8330,188.29113924050634
quartus,128,static,registers,1499,8701,7202,480.45363575717147
quartus,128,static,block_memory_bits,11813092,18879076,7065984,59.814856262864964
quartus,128,static,mlab_memory_bits,0,0,0,
quartus,128,static,dsp_blocks,0,0,0,
quartus,128,dynamic,logic_alms,9593,10251,658,6.859168143437923
quartus,128,dynamic,logic_aluts,15179,12754,-2425,-15.976019500625865
quartus,128,dynamic,registers,8996,8701,-295,-3.2792352156514006
quartus,128,dynamic,block_memory_bits,31487332,18879076,-12608256,-40.04231288951379
quartus,128,dynamic,mlab_memory_bits,0,0,0,
quartus,128,dynamic,dsp_blocks,0,0,0,
vivado,128,static,logic_luts,7362,13567,6205,84.28416191252377
vivado,128,static,registers,6107,7837,1730,28.32814802685443
vivado,128,static,bram36_tiles,500.0,694.0,194.0,38.8
vivado,128,static,uram288_blocks,0,0,0,
vivado,128,static,bram_uram_allocated_bits,18432000,25583616,7151616,38.8
vivado,128,static,lutram_luts,832,912,80,9.615384615384615
vivado,128,static,dsp_blocks,0,0,0,
vivado,128,dynamic,logic_luts,14035,13567,-468,-3.3345208407552547
vivado,128,dynamic,registers,8707,7837,-870,-9.991960491558515
vivado,128,dynamic,bram36_tiles,1040.0,694.0,-346.0,-33.26923076923077
vivado,128,dynamic,uram288_blocks,0,0,0,
vivado,128,dynamic,bram_uram_allocated_bits,38338560,25583616,-12754944,-33.26923076923077
vivado,128,dynamic,lutram_luts,1072,912,-160,-14.925373134328359
vivado,128,dynamic,dsp_blocks,0,0,0,
vivado,1024,static,logic_luts,219107,308796,89689,40.93388161948272
vivado,1024,static,registers,84909,73815,-11094,-13.065752747058616
vivado,1024,static,bram36_tiles,35850.0,51230.5,15380.5,42.9023709902371
vivado,1024,static,uram288_blocks,0,0,0,
vivado,1024,static,bram_uram_allocated_bits,1321574400,1888561152,566986752,42.9023709902371
vivado,1024,static,lutram_luts,824,824,0,0.0
vivado,1024,static,dsp_blocks,0,0,0,
vivado,1024,dynamic,logic_luts,345710,308796,-36914,-10.677735674409186
vivado,1024,dynamic,registers,76037,73815,-2222,-2.922261530570643
vivado,1024,dynamic,bram36_tiles,81937.5,51230.5,-30707.0,-37.476125095347065
vivado,1024,dynamic,uram288_blocks,0,0,0,
vivado,1024,dynamic,bram_uram_allocated_bits,3020544000,1888561152,-1131982848,-37.476125095347065
vivado,1024,dynamic,lutram_luts,824,824,0,0.0
vivado,1024,dynamic,dsp_blocks,0,0,0,
