platform,vflows,configuration,resource,value,source
quartus,32,static,logic_alms,1385,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,logic_alms,3565,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,replay,logic_alms,3136,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
vivado,32,static,logic_luts,3309,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,logic_luts,3853,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,replay,logic_luts,4011,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
quartus,128,static,logic_alms,4068,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,dynamic,logic_alms,9593,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,replay,logic_alms,10251,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
vivado,128,static,logic_luts,7362,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,dynamic,logic_luts,14035,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,replay,logic_luts,13567,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
quartus,1024,static,logic_alms,249166,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,dynamic,logic_alms,526738,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,replay,logic_alms,479742,runs/rio-replay-pe5-v1024-c1024-j16384-quartus/resource-summary.json
vivado,1024,static,logic_luts,219107,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,dynamic,logic_luts,345710,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,replay,logic_luts,308796,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
