platform,vflows,configuration,resource,value,source
quartus,32,static,registers,1303,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,registers,3080,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,replay,registers,2885,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
vivado,32,static,registers,2036,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,registers,2355,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,replay,registers,2125,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
quartus,128,static,registers,1499,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,dynamic,registers,8996,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,replay,registers,8701,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
vivado,128,static,registers,6107,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,dynamic,registers,8707,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,replay,registers,7837,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
quartus,1024,static,registers,145293,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,dynamic,registers,268960,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
vivado,1024,static,registers,84909,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,dynamic,registers,76037,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,replay,registers,73815,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
