baseline,resource,baseline_value,m20k_replay_value,absolute_change,percent_change,reference_source
static,logic_alms,249166,355832,106666,42.80921152966295,../runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
static,logic_aluts,257723,446357,188634,73.19253617255735,../runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
static,registers,145293,268415,123122,84.74048990660252,../runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
static,block_memory_bits,880804632,1426719512,545914880,61.979110936373914,../runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
static,mlab_memory_bits,0,0,0,,../runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
static,dsp_blocks,0,0,0,,../runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
dynamic,logic_alms,526738,355832,-170906,-32.44611172917086,../runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
dynamic,logic_aluts,665003,446357,-218646,-32.8789494182733,../runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
dynamic,registers,268960,268415,-545,-0.20263236168947055,../runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
dynamic,block_memory_bits,2516583192,1426719512,-1089863680,-43.30727803732387,../runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
dynamic,dsp_blocks,0,0,0,,../runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
