case,scope,resource,value,source
isolated-auto,isolated_journal,logic_alms,490,runs/isolated-auto/resource-summary.json
isolated-auto,isolated_journal,logic_aluts,172,runs/isolated-auto/resource-summary.json
isolated-auto,isolated_journal,registers,49,runs/isolated-auto/resource-summary.json
isolated-auto,isolated_journal,block_memory_bits,655360,runs/isolated-auto/resource-summary.json
isolated-auto,isolated_journal,mlab_memory_bits,0,runs/isolated-auto/resource-summary.json
isolated-auto,isolated_journal,dsp_blocks,0,runs/isolated-auto/resource-summary.json
isolated-m20k,isolated_journal,logic_alms,490,runs/isolated-m20k/resource-summary.json
isolated-m20k,isolated_journal,logic_aluts,172,runs/isolated-m20k/resource-summary.json
isolated-m20k,isolated_journal,registers,49,runs/isolated-m20k/resource-summary.json
isolated-m20k,isolated_journal,block_memory_bits,655360,runs/isolated-m20k/resource-summary.json
isolated-m20k,isolated_journal,mlab_memory_bits,0,runs/isolated-m20k/resource-summary.json
isolated-m20k,isolated_journal,dsp_blocks,0,runs/isolated-m20k/resource-summary.json
full-auto,full_core,logic_alms,479742,runs/full-auto/resource-summary.json
full-auto,full_core,logic_aluts,681729,runs/full-auto/resource-summary.json
full-auto,full_core,registers,923812,runs/full-auto/resource-summary.json
full-auto,full_core,block_memory_bits,1426064152,runs/full-auto/resource-summary.json
full-auto,full_core,mlab_memory_bits,0,runs/full-auto/resource-summary.json
full-auto,full_core,dsp_blocks,0,runs/full-auto/resource-summary.json
full-m20k,full_core,logic_alms,355832,runs/full-m20k/resource-summary.json
full-m20k,full_core,logic_aluts,446357,runs/full-m20k/resource-summary.json
full-m20k,full_core,registers,268415,runs/full-m20k/resource-summary.json
full-m20k,full_core,block_memory_bits,1426719512,runs/full-m20k/resource-summary.json
full-m20k,full_core,mlab_memory_bits,0,runs/full-m20k/resource-summary.json
full-m20k,full_core,dsp_blocks,0,runs/full-m20k/resource-summary.json
