platform,vflows,configuration,resource,component,value,source
quartus,32,static,block_memory_bits,post_mapper,327680,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,block_memory_bits,pre_mapper,800,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,block_memory_bits,engine_cam,327680,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,block_memory_bits,replay_log,0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,block_memory_bits,other,3372,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,block_memory_bits,post_mapper,1310720,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,block_memory_bits,pre_mapper,3200,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,block_memory_bits,engine_cam,327680,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,block_memory_bits,replay_log,0,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,block_memory_bits,other,3372,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,post_mapper,655360,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,pre_mapper,1600,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,engine_cam,327680,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,replay_log,409600,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,other,3372,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
vivado,32,static,bram36_tiles,post_mapper,10,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram36_tiles,pre_mapper,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram36_tiles,engine_cam,20,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram36_tiles,replay_log,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram36_tiles,other,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,post_mapper,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,pre_mapper,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,engine_cam,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,replay_log,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,other,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,post_mapper,368640,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,pre_mapper,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,engine_cam,737280,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,replay_log,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,other,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,bram36_tiles,post_mapper,40,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram36_tiles,pre_mapper,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram36_tiles,engine_cam,20,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram36_tiles,replay_log,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram36_tiles,other,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,uram288_blocks,post_mapper,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,uram288_blocks,pre_mapper,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,uram288_blocks,engine_cam,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,uram288_blocks,replay_log,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,uram288_blocks,other,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,post_mapper,1474560,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,pre_mapper,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,engine_cam,737280,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,replay_log,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,other,0,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,post_mapper,20,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,pre_mapper,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,engine_cam,20,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,replay_log,11.5,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,other,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,post_mapper,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,pre_mapper,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,engine_cam,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,replay_log,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,other,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,post_mapper,737280,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,pre_mapper,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,engine_cam,737280,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,replay_log,423936,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,other,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
quartus,128,static,block_memory_bits,post_mapper,6553600,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,pre_mapper,4480,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,engine_cam,5242880,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,replay_log,0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,other,12132,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
