platform,vflows,configuration,resource,unit,value,part,source
quartus,32,static,logic_alms,ALMs,217237,AGFB014R24B2E2V,runs/pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,logic_aluts,ALUTs,336940,AGFB014R24B2E2V,runs/pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,registers,bits,108993,AGFB014R24B2E2V,runs/pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,block_memory_bits,bits,659532,AGFB014R24B2E2V,runs/pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,mlab_memory_bits,bits,0,AGFB014R24B2E2V,runs/pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,dsp_blocks,blocks,0,AGFB014R24B2E2V,runs/pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,logic_alms,ALMs,227676,AGFB014R24B2E2V,runs/pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,logic_aluts,ALUTs,362361,AGFB014R24B2E2V,runs/pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,registers,bits,110800,AGFB014R24B2E2V,runs/pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,block_memory_bits,bits,1644972,AGFB014R24B2E2V,runs/pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,mlab_memory_bits,bits,0,AGFB014R24B2E2V,runs/pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,dynamic,dsp_blocks,blocks,0,AGFB014R24B2E2V,runs/pe5-v32-c1024-dynamic-quartus/resource-summary.json
vivado,32,static,logic_luts,LUTs,512909,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,registers,bits,109975,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram36_tiles,tiles,30.0,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,bits,1105920,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,lutram_luts,LUTs,532,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,dsp_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,logic_luts,LUTs,513506,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,registers,bits,110340,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram36_tiles,tiles,60.0,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,uram288_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,bits,2211840,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,lutram_luts,LUTs,592,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,dsp_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,64,static,logic_luts,LUTs,505397,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,registers,bits,121046,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,bram36_tiles,tiles,120.0,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,uram288_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,bram_uram_allocated_bits,bits,4423680,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,lutram_luts,LUTs,612,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,dsp_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,dynamic,logic_luts,LUTs,517460,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,registers,bits,122385,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,bram36_tiles,tiles,240.0,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,uram288_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,bram_uram_allocated_bits,bits,8847360,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,lutram_luts,LUTs,732,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-dynamic-vivado/resource-summary.json
vivado,64,dynamic,dsp_blocks,blocks,0,xcku5p-ffvb676-2-e,runs/pe5-v64-c1024-dynamic-vivado/resource-summary.json
