cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
242,accepted,UpdateBrainEngine,1,11,0,2,
243,accepted,UpdateBrainFlowState,1,11,33,1,
244,accepted,UpdateBrainFlowState,1,11,34,32769,
244,dispatched,UpdateBrainEngine,1,11,0,2,
245,accepted,UpdateBrainEngine,2,10,0,3,
245,dispatched,UpdateBrainFlowState,1,11,33,1,
246,accepted,UpdateBrainEngine,2,11,0,3,
246,dispatched,UpdateBrainFlowState,1,11,34,32769,
247,accepted,UpdateBrainEngine,3,10,0,3,
247,dispatched,UpdateBrainEngine,2,10,0,3,
248,accepted,UpdateBrainEngine,3,11,0,3,
248,dispatched,UpdateBrainEngine,2,11,0,3,
249,accepted,UpdateBrainEngine,4,10,0,3,
249,dispatched,UpdateBrainEngine,3,10,0,3,
250,accepted,UpdateBrainEngine,4,11,0,3,
250,dispatched,UpdateBrainEngine,3,11,0,3,
251,accepted,UpdateMapperPre,1,1,0,11,
251,dispatched,UpdateBrainEngine,4,10,0,3,
252,accepted,UpdateMapperPost,1,11,33,74,
252,dispatched,UpdateBrainEngine,4,11,0,3,
253,accepted,UpdateMapperPre,2,1,0,10,
253,dispatched,UpdateMapperPre,1,1,0,11,
254,accepted,UpdateMapperPost,2,10,65,106,
254,dispatched,UpdateMapperPost,1,11,33,74,
255,accepted,UpdateMapperPre,3,1,0,10,
255,dispatched,UpdateMapperPre,2,1,0,10,
256,accepted,UpdateMapperPost,3,10,97,138,
256,dispatched,UpdateMapperPost,2,10,65,106,
257,accepted,UpdateMapperPre,4,1,0,10,
257,dispatched,UpdateMapperPre,3,1,0,10,
258,accepted,UpdateMapperPost,4,10,129,1,
258,dispatched,UpdateMapperPost,3,10,97,138,
259,accepted,UpdateMapperPre,1,2,0,11,
259,dispatched,UpdateMapperPre,4,1,0,10,
260,accepted,UpdateMapperPost,1,11,34,75,
260,dispatched,UpdateMapperPost,4,10,129,1,
261,accepted,UpdateMapperPre,2,2,0,11,
261,dispatched,UpdateMapperPre,1,2,0,11,
262,accepted,UpdateMapperPost,2,11,66,107,
262,dispatched,UpdateMapperPost,1,11,34,75,
263,accepted,UpdateMapperPre,3,2,0,11,
263,dispatched,UpdateMapperPre,2,2,0,11,
264,accepted,UpdateMapperPost,3,11,98,139,
264,dispatched,UpdateMapperPost,2,11,66,107,
265,accepted,UpdateMapperPre,4,2,0,11,
265,dispatched,UpdateMapperPre,3,2,0,11,
266,accepted,UpdateMapperPost,4,11,130,2,
266,dispatched,UpdateMapperPost,3,11,98,139,
267,accepted,UpdateMapperNonExist,1,10,0,11,
267,dispatched,UpdateMapperPre,4,2,0,11,
268,dispatched,UpdateMapperPost,4,11,130,2,
269,dispatched,UpdateMapperNonExist,1,10,0,11,
279,accepted,CommitMapper,1,0,0,0,
281,dispatched,CommitMapper,1,0,0,0,
281,committed,CommitMapper,1,0,0,0,
282,replayed,UpdateMapperPre,1,1,0,11,
283,replayed,UpdateMapperPost,1,11,33,74,
284,replayed,UpdateMapperPre,2,1,0,10,
285,replayed,UpdateMapperPost,2,10,65,106,
286,replayed,UpdateMapperPre,3,1,0,10,
287,replayed,UpdateMapperPost,3,10,97,138,
288,replayed,UpdateMapperPre,4,1,0,10,
289,replayed,UpdateMapperPost,4,10,129,1,
290,replayed,UpdateMapperPre,1,2,0,11,
291,replayed,UpdateMapperPost,1,11,34,75,
292,replayed,UpdateMapperPre,2,2,0,11,
293,replayed,UpdateMapperPost,2,11,66,107,
294,replayed,UpdateMapperPre,3,2,0,11,
295,replayed,UpdateMapperPost,3,11,98,139,
296,replayed,UpdateMapperPre,4,2,0,11,
297,replayed,UpdateMapperPost,4,11,130,2,
300,accepted,GuardDrain,1,10,0,0,
301,accepted,GuardDrain,2,12,0,0,
302,accepted,GuardDrain,2,13,0,0,
303,accepted,GuardDrain,3,14,0,0,
304,accepted,GuardDrain,3,15,0,0,
305,accepted,GuardDrain,4,16,0,0,
