request_id,flow,flow_name,size_bytes,push_cycle,pop_cycle,delay_cycles,dropped
1,1,high priority,512,0,34,34,false
2,2,low priority,512,0,42,42,false
3,1,high priority,512,10,53,43,false
4,2,low priority,512,10,61,51,false
5,1,high priority,512,20,72,52,false
6,2,low priority,512,20,82,62,false
7,1,high priority,512,30,92,62,false
8,2,low priority,512,30,101,71,false
9,1,high priority,512,40,111,71,false
10,2,low priority,512,40,120,80,false
11,1,high priority,512,50,130,80,false
12,2,low priority,512,50,140,90,false
13,1,high priority,512,60,150,90,false
14,2,low priority,512,60,160,100,false
15,1,high priority,512,70,170,100,false
16,2,low priority,512,70,180,110,false
17,1,high priority,512,80,190,110,false
18,2,low priority,512,80,200,120,false
19,1,high priority,512,90,210,120,false
20,2,low priority,512,90,220,130,false
21,1,high priority,512,100,230,130,false
22,2,low priority,512,100,240,140,false
23,1,high priority,512,110,250,140,false
24,2,low priority,512,110,260,150,false
25,1,high priority,512,120,270,150,false
26,2,low priority,512,120,280,160,false
27,1,high priority,512,130,290,160,false
28,2,low priority,512,130,300,170,false
29,1,high priority,512,140,309,169,false
30,2,low priority,512,140,320,180,false
31,1,high priority,512,150,328,178,false
32,2,low priority,512,150,340,190,false
33,1,high priority,512,160,348,188,false
34,2,low priority,512,160,359,199,false
35,1,high priority,512,170,367,197,false
36,2,low priority,512,170,378,208,false
37,1,high priority,512,180,386,206,false
38,2,low priority,512,180,397,217,false
39,1,high priority,512,190,405,215,false
40,2,low priority,512,190,416,226,false
41,1,high priority,512,200,424,224,false
42,2,low priority,512,200,435,235,false
43,1,high priority,512,210,443,233,false
44,2,low priority,512,210,454,244,false
45,1,high priority,512,220,462,242,false
46,2,low priority,512,220,473,253,false
47,1,high priority,512,230,481,251,false
48,2,low priority,512,230,492,262,false
49,1,high priority,512,240,500,260,false
50,2,low priority,512,240,511,271,false
51,1,high priority,512,250,520,270,false
52,2,low priority,512,250,530,280,false
53,1,high priority,512,260,540,280,false
54,2,low priority,512,260,550,290,false
55,1,high priority,512,270,560,290,false
56,2,low priority,512,270,889,619,false
57,1,high priority,512,280,570,290,false
58,2,low priority,512,280,900,620,false
59,1,high priority,512,290,580,290,false
60,2,low priority,512,290,909,619,false
61,1,high priority,512,300,590,290,false
62,2,low priority,512,300,920,620,false
63,1,high priority,512,310,600,290,false
64,2,low priority,512,310,929,619,false
65,1,high priority,512,320,610,290,false
66,2,low priority,512,320,940,620,false
67,1,high priority,512,330,620,290,false
68,2,low priority,512,330,949,619,false
69,1,high priority,512,340,629,289,false
70,2,low priority,512,340,960,620,false
71,1,high priority,512,350,640,290,false
72,2,low priority,512,350,969,619,false
73,1,high priority,512,360,649,289,false
74,2,low priority,512,360,980,620,false
75,1,high priority,512,370,660,290,false
76,2,low priority,512,370,989,619,false
77,1,high priority,512,380,669,289,false
78,2,low priority,512,380,1000,620,false
79,1,high priority,512,390,680,290,false
80,2,low priority,512,390,1009,619,false
81,1,high priority,512,400,689,289,false
82,2,low priority,512,400,1020,620,false
83,1,high priority,512,410,700,290,false
84,2,low priority,512,410,1029,619,false
85,1,high priority,512,420,709,289,false
86,2,low priority,512,420,1040,620,false
87,1,high priority,512,430,720,290,false
88,2,low priority,512,430,1049,619,false
89,1,high priority,512,440,729,289,false
90,2,low priority,512,440,1060,620,false
91,1,high priority,512,450,740,290,false
92,2,low priority,512,450,1069,619,false
93,1,high priority,512,460,749,289,false
94,2,low priority,512,460,1080,620,false
95,1,high priority,512,470,760,290,false
96,2,low priority,512,470,1089,619,false
97,1,high priority,512,480,769,289,false
98,2,low priority,512,480,1100,620,false
99,1,high priority,512,490,780,290,false
100,2,low priority,512,490,1109,619,false
101,1,high priority,512,500,789,289,false
102,2,low priority,512,500,1120,620,false
103,1,high priority,512,510,800,290,false
104,2,low priority,512,510,1129,619,false
105,1,high priority,512,520,809,289,false
106,2,low priority,512,520,1140,620,false
107,1,high priority,512,530,820,290,false
108,2,low priority,512,530,1149,619,false
109,1,high priority,512,540,829,289,false
110,2,low priority,512,540,1160,620,false
111,1,high priority,512,550,840,290,false
112,2,low priority,512,550,1169,619,false
113,1,high priority,512,560,849,289,false
114,2,low priority,512,560,1180,620,false
115,1,high priority,512,570,860,290,false
116,2,low priority,512,570,1189,619,false
117,1,high priority,512,580,869,289,false
118,2,low priority,512,580,1200,620,false
119,1,high priority,512,590,880,290,false
120,2,low priority,512,590,1209,619,false
