request_id,flow_id,input_cycle,output_cycle,input_relative_to_start,output_relative_to_start
1,1,0,34,-241,-207
2,2,0,42,-241,-199
3,1,10,53,-231,-188
4,2,10,61,-231,-180
5,1,20,72,-221,-169
6,2,20,80,-221,-161
7,1,30,92,-211,-149
8,2,30,102,-211,-139
9,1,40,111,-201,-130
10,2,40,121,-201,-120
11,1,50,130,-191,-111
12,2,50,140,-191,-101
13,1,60,149,-181,-92
14,2,60,159,-181,-82
15,1,70,168,-171,-73
16,2,70,178,-171,-63
17,1,80,187,-161,-54
18,2,80,197,-161,-44
19,1,90,206,-151,-35
20,2,90,216,-151,-25
21,1,100,225,-141,-16
22,2,100,235,-141,-6
23,1,110,244,-131,3
24,2,110,254,-131,13
25,1,120,263,-121,22
26,2,120,273,-121,32
27,1,130,282,-111,41
28,2,130,292,-111,51
29,1,140,301,-101,60
30,2,140,311,-101,70
31,1,150,320,-91,79
32,2,150,330,-91,89
33,1,160,339,-81,98
34,2,160,349,-81,108
35,1,170,358,-71,117
36,2,170,368,-71,127
37,1,180,377,-61,136
38,2,180,387,-61,146
39,1,190,396,-51,155
40,2,190,406,-51,165
41,1,200,415,-41,174
42,2,200,425,-41,184
43,1,210,434,-31,193
44,2,210,444,-31,203
45,1,220,453,-21,212
46,2,220,463,-21,222
47,1,230,472,-11,231
48,2,230,482,-11,241
49,1,240,491,-1,250
50,2,240,501,-1,260
51,1,250,510,9,269
52,2,250,520,9,279
53,1,260,529,19,288
54,2,260,539,19,298
55,1,270,548,29,307
56,2,270,862,29,621
57,1,280,558,39,317
58,2,280,871,39,630
59,1,290,567,49,326
60,2,290,881,49,640
61,1,300,577,59,336
62,2,300,890,59,649
63,1,310,586,69,345
64,2,310,900,69,659
65,1,320,596,79,355
66,2,320,909,79,668
67,1,330,605,89,364
68,2,330,919,89,678
69,1,340,615,99,374
70,2,340,928,99,687
71,1,350,624,109,383
72,2,350,938,109,697
73,1,360,634,119,393
74,2,360,947,119,706
75,1,370,643,129,402
76,2,370,957,129,716
77,1,380,653,139,412
78,2,380,966,139,725
79,1,390,662,149,421
80,2,390,976,149,735
81,1,400,672,159,431
82,2,400,985,159,744
83,1,410,681,169,440
84,2,410,995,169,754
85,1,420,691,179,450
86,2,420,1004,179,763
87,1,430,700,189,459
88,2,430,1014,189,773
89,1,440,710,199,469
90,2,440,1023,199,782
91,1,450,719,209,478
92,2,450,1033,209,792
93,1,460,729,219,488
94,2,460,1042,219,801
95,1,470,738,229,497
96,2,470,1052,229,811
97,1,480,748,239,507
98,2,480,1061,239,820
99,1,490,757,249,516
100,2,490,1071,249,830
101,1,500,767,259,526
102,2,500,1080,259,839
103,1,510,776,269,535
104,2,510,1090,269,849
105,1,520,786,279,545
106,2,520,1099,279,858
107,1,530,795,289,554
108,2,530,1109,289,868
109,1,540,805,299,564
110,2,540,1118,299,877
111,1,550,814,309,573
112,2,550,1128,309,887
113,1,560,824,319,583
114,2,560,1137,319,896
115,1,570,833,329,592
116,2,570,1147,329,906
117,1,580,843,339,602
118,2,580,1156,339,915
119,1,590,852,349,611
120,2,590,1166,349,925
