request_id,flow,size_bytes,push_cycle,pop_cycle,dropped
1,1,512,0,34,false
2,2,512,0,42,false
3,1,512,10,53,false
4,2,512,10,61,false
5,1,512,20,72,false
6,2,512,20,82,false
7,1,512,30,92,false
8,2,512,30,101,false
9,1,512,40,111,false
10,2,512,40,120,false
11,1,512,50,130,false
12,2,512,50,140,false
13,1,512,60,150,false
14,2,512,60,160,false
15,1,512,70,170,false
16,2,512,70,180,false
17,1,512,80,190,false
18,2,512,80,200,false
19,1,512,90,210,false
20,2,512,90,220,false
21,1,512,100,230,false
22,2,512,100,240,false
23,1,512,110,250,false
24,2,512,110,260,false
25,1,512,120,270,false
26,2,512,120,280,false
27,1,512,130,290,false
28,2,512,130,300,false
29,1,512,140,309,false
30,2,512,140,320,false
31,1,512,150,328,false
32,2,512,150,340,false
33,1,512,160,348,false
34,2,512,160,359,false
35,1,512,170,367,false
36,2,512,170,378,false
37,1,512,180,386,false
38,2,512,180,397,false
39,1,512,190,405,false
40,2,512,190,416,false
41,1,512,200,424,false
42,2,512,200,435,false
43,1,512,210,443,false
44,2,512,210,454,false
45,1,512,220,462,false
46,2,512,220,473,false
47,1,512,230,481,false
48,2,512,230,492,false
49,1,512,240,500,false
50,2,512,240,511,false
51,1,512,250,520,false
52,2,512,250,530,false
53,1,512,260,540,false
54,2,512,260,550,false
55,1,512,270,560,false
56,2,512,270,889,false
57,1,512,280,570,false
58,2,512,280,900,false
59,1,512,290,580,false
60,2,512,290,909,false
61,1,512,300,590,false
62,2,512,300,920,false
63,1,512,310,600,false
64,2,512,310,929,false
65,1,512,320,610,false
66,2,512,320,940,false
67,1,512,330,620,false
68,2,512,330,949,false
69,1,512,340,629,false
70,2,512,340,960,false
71,1,512,350,640,false
72,2,512,350,969,false
73,1,512,360,649,false
74,2,512,360,980,false
75,1,512,370,660,false
76,2,512,370,989,false
77,1,512,380,669,false
78,2,512,380,1000,false
79,1,512,390,680,false
80,2,512,390,1009,false
81,1,512,400,689,false
82,2,512,400,1020,false
83,1,512,410,700,false
84,2,512,410,1029,false
85,1,512,420,709,false
86,2,512,420,1040,false
87,1,512,430,720,false
88,2,512,430,1049,false
89,1,512,440,729,false
90,2,512,440,1060,false
91,1,512,450,740,false
92,2,512,450,1069,false
93,1,512,460,749,false
94,2,512,460,1080,false
95,1,512,470,760,false
96,2,512,470,1089,false
97,1,512,480,769,false
98,2,512,480,1100,false
99,1,512,490,780,false
100,2,512,490,1109,false
101,1,512,500,789,false
102,2,512,500,1120,false
103,1,512,510,800,false
104,2,512,510,1129,false
105,1,512,520,809,false
106,2,512,520,1140,false
107,1,512,530,820,false
108,2,512,530,1149,false
109,1,512,540,829,false
110,2,512,540,1160,false
111,1,512,550,840,false
112,2,512,550,1169,false
113,1,512,560,849,false
114,2,512,560,1180,false
115,1,512,570,860,false
116,2,512,570,1189,false
117,1,512,580,869,false
118,2,512,580,1200,false
119,1,512,590,880,false
120,2,512,590,1209,false
