request_id,flow_id,input_cycle,output_cycle,input_relative_to_start,output_relative_to_start
1,1,0,23,-240,-217
2,2,0,51,-240,-189
3,1,10,79,-230,-161
4,2,10,107,-230,-133
5,1,20,135,-220,-105
6,2,20,163,-220,-77
7,1,30,191,-210,-49
8,2,30,219,-210,-21
9,1,40,247,-200,7
10,2,40,275,-200,35
11,1,50,302,-190,62
12,2,50,329,-190,89
13,1,60,356,-180,116
14,2,60,383,-180,143
15,1,70,410,-170,170
16,2,70,437,-170,197
17,1,80,464,-160,224
18,2,80,491,-160,251
19,1,90,518,-150,278
20,2,90,545,-150,305
21,1,100,572,-140,332
22,2,100,599,-140,359
23,1,110,626,-130,386
24,2,110,653,-130,413
25,1,120,680,-120,440
26,2,120,707,-120,467
27,1,130,734,-110,494
28,2,130,761,-110,521
29,1,140,788,-100,548
30,2,140,815,-100,575
31,1,150,842,-90,602
32,2,150,869,-90,629
33,1,160,896,-80,656
34,2,160,923,-80,683
35,1,170,950,-70,710
36,2,170,977,-70,737
37,1,180,1004,-60,764
38,2,180,1031,-60,791
39,1,190,1058,-50,818
40,2,190,1085,-50,845
41,1,200,1112,-40,872
42,2,200,1139,-40,899
43,1,210,1166,-30,926
44,2,210,1193,-30,953
45,1,220,1220,-20,980
46,2,220,1247,-20,1007
47,1,230,1274,-10,1034
48,2,230,1301,-10,1061
49,1,240,1328,0,1088
50,2,240,1355,0,1115
51,1,250,1382,10,1142
52,2,250,1409,10,1169
53,1,260,1436,20,1196
54,2,260,1463,20,1223
55,1,270,1494,30,1254
56,2,270,2517,30,2277
57,1,280,1525,40,1285
58,2,280,2548,40,2308
59,1,290,1556,50,1316
60,2,290,2579,50,2339
61,1,300,1587,60,1347
62,2,300,2610,60,2370
63,1,310,1618,70,1378
64,2,310,2641,70,2401
65,1,320,1649,80,1409
66,2,320,2672,80,2432
67,1,330,1680,90,1440
68,2,330,2703,90,2463
69,1,340,1711,100,1471
70,2,340,2734,100,2494
71,1,350,1742,110,1502
72,2,350,2765,110,2525
73,1,360,1773,120,1533
74,2,360,2796,120,2556
75,1,370,1804,130,1564
76,2,370,2827,130,2587
77,1,380,1835,140,1595
78,2,380,2858,140,2618
79,1,390,1866,150,1626
80,2,390,2889,150,2649
81,1,400,1897,160,1657
82,2,400,2920,160,2680
83,1,410,1928,170,1688
84,2,410,2951,170,2711
85,1,420,1959,180,1719
86,2,420,2982,180,2742
87,1,430,1990,190,1750
88,2,430,3013,190,2773
89,1,440,2021,200,1781
90,2,440,3044,200,2804
91,1,450,2052,210,1812
92,2,450,3075,210,2835
93,1,460,2083,220,1843
94,2,460,3106,220,2866
95,1,470,2114,230,1874
96,2,470,3137,230,2897
97,1,480,2145,240,1905
98,2,480,3168,240,2928
99,1,490,2176,250,1936
100,2,490,3199,250,2959
101,1,500,2207,260,1967
102,2,500,3230,260,2990
103,1,510,2238,270,1998
104,2,510,3261,270,3021
105,1,520,2269,280,2029
106,2,520,3292,280,3052
107,1,530,2300,290,2060
108,2,530,3323,290,3083
109,1,540,2331,300,2091
110,2,540,3354,300,3114
111,1,550,2362,310,2122
112,2,550,3385,310,3145
113,1,560,2393,320,2153
114,2,560,3416,320,3176
115,1,570,2424,330,2184
116,2,570,3447,330,3207
117,1,580,2455,340,2215
118,2,580,3478,340,3238
119,1,590,2486,350,2246
120,2,590,3509,350,3269
