cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2002,accepted,UpdateBrainEngine,3,3,0,3,
2003,accepted,UpdateBrainFlowState,1,1,11,2,
2004,accepted,UpdateMapperPre,1,3,0,1,
2004,dispatched,UpdateBrainEngine,3,3,0,3,
2005,accepted,UpdateMapperPost,1,1,11,27,
2005,dispatched,UpdateBrainFlowState,1,1,11,2,
2006,accepted,UpdateMapperPre,3,3,0,3,
2006,dispatched,UpdateMapperPre,1,3,0,1,
2007,accepted,UpdateMapperPost,3,3,27,3,
2007,dispatched,UpdateMapperPost,1,1,11,27,
2008,dispatched,UpdateMapperPre,3,3,0,3,
2009,dispatched,UpdateMapperPost,3,3,27,3,
2013,accepted,CommitMapper,1,0,0,0,
2015,dispatched,CommitMapper,1,0,0,0,
2015,committed,CommitMapper,1,0,0,0,
2016,replayed,UpdateMapperPre,1,3,0,1,
2017,replayed,UpdateMapperPost,1,1,11,27,
2018,replayed,UpdateMapperPre,3,3,0,3,
2019,replayed,UpdateMapperPost,3,3,27,3,
2021,accepted,CommitMapper,1,0,0,0,
2023,dispatched,CommitMapper,1,0,0,0,
2023,committed,CommitMapper,1,0,0,0,
