request_id,flow,push_cycle,pop_cycle,delay_cycles,dropped
1,1,0,20,20,false
2,2,0,35,35,false
3,2,4,41,37,false
4,1,8,23,15,false
5,2,8,45,37,false
6,2,11,51,40,false
7,1,15,26,11,false
8,2,15,54,39,false
9,2,19,60,41,false
10,1,22,32,10,false
11,2,22,66,44,false
12,2,26,72,46,false
13,1,30,38,8,false
14,2,30,75,45,false
15,2,34,81,47,false
16,1,38,48,10,false
17,2,38,84,46,false
18,2,41,90,49,false
19,1,45,57,12,false
20,2,45,96,51,false
21,2,49,102,53,false
22,1,52,63,11,false
23,2,52,105,53,false
24,2,56,111,55,false
25,1,60,69,9,false
26,2,60,114,54,false
27,2,64,120,56,false
28,1,68,78,10,false
29,2,68,126,58,false
30,2,71,132,61,false
31,1,75,87,12,false
32,2,75,135,60,false
33,2,79,141,62,false
34,1,82,93,11,false
35,2,82,144,62,false
36,2,86,150,64,false
37,1,90,99,9,false
38,2,90,156,66,false
39,2,94,162,68,false
40,1,98,108,10,false
41,2,98,165,67,false
42,2,101,171,70,false
43,1,105,117,12,false
44,2,105,174,69,false
45,2,109,180,71,false
46,1,112,123,11,false
47,2,112,186,74,false
48,2,116,192,76,false
49,1,120,129,9,false
50,2,120,195,75,false
51,2,124,201,77,false
52,1,128,138,10,false
53,2,128,204,76,false
54,2,131,210,79,false
55,1,135,147,12,false
56,2,135,216,81,false
57,2,139,222,83,false
58,1,142,153,11,false
59,2,142,225,83,false
60,2,146,231,85,false
61,1,150,159,9,false
62,2,150,234,84,false
63,2,154,240,86,false
64,1,158,168,10,false
65,2,158,246,88,false
66,2,161,252,91,false
67,1,165,177,12,false
68,2,165,255,90,false
69,2,169,261,92,false
70,1,172,183,11,false
71,2,172,264,92,false
72,2,176,270,94,false
73,1,180,189,9,false
74,2,180,276,96,false
75,2,184,282,98,false
76,1,188,198,10,false
77,2,188,285,97,false
78,2,191,291,100,false
79,1,195,207,12,false
80,2,195,294,99,false
81,2,199,300,101,false
82,1,202,213,11,false
83,2,202,306,104,false
84,2,206,312,106,false
85,1,210,219,9,false
86,2,210,315,105,false
87,2,214,321,107,false
88,1,218,228,10,false
89,2,218,324,106,false
90,2,221,330,109,false
91,1,225,237,12,false
92,2,225,336,111,false
93,2,229,342,113,false
94,1,232,243,11,false
95,2,232,345,113,false
96,2,236,351,115,false
97,1,240,249,9,false
98,2,240,354,114,false
99,2,244,360,116,false
100,1,248,258,10,false
101,2,248,366,118,false
102,2,251,372,121,false
103,1,255,267,12,false
104,2,255,375,120,false
105,2,259,381,122,false
106,1,262,273,11,false
107,2,262,384,122,false
108,2,266,390,124,false
109,1,270,279,9,false
110,2,270,396,126,false
111,2,274,402,128,false
112,1,278,288,10,false
113,2,278,405,127,false
114,2,281,411,130,false
115,1,285,297,12,false
116,2,285,414,129,false
117,2,289,420,131,false
118,1,292,303,11,false
119,2,292,426,134,false
120,2,296,432,136,false
121,1,300,309,9,false
122,2,300,435,135,false
123,2,304,441,137,false
124,1,308,318,10,false
125,2,308,444,136,false
126,2,311,450,139,false
127,1,315,327,12,false
128,2,315,456,141,false
129,2,319,462,143,false
130,1,322,333,11,false
131,2,322,465,143,false
132,2,326,471,145,false
133,1,330,339,9,false
134,2,330,474,144,false
135,2,334,480,146,false
136,1,338,348,10,false
137,2,338,486,148,false
138,2,341,492,151,false
139,1,345,357,12,false
140,2,345,495,150,false
141,2,349,501,152,false
142,1,352,363,11,false
143,2,352,504,152,false
144,2,356,510,154,false
145,1,360,369,9,false
146,2,360,516,156,false
147,2,364,522,158,false
148,1,368,378,10,false
149,2,368,525,157,false
150,2,371,531,160,false
151,1,375,387,12,false
152,2,375,534,159,false
153,2,379,540,161,false
154,1,382,393,11,false
155,2,382,546,164,false
156,2,386,552,166,false
157,1,390,399,9,false
158,2,390,555,165,false
159,2,394,561,167,false
160,1,398,408,10,false
161,2,398,564,166,false
162,2,401,570,169,false
163,1,405,417,12,false
164,2,405,576,171,false
165,2,409,582,173,false
166,1,412,423,11,false
167,2,412,585,173,false
168,2,416,591,175,false
169,1,420,429,9,false
170,2,420,594,174,false
171,2,424,600,176,false
172,1,428,438,10,false
173,2,428,606,178,false
174,2,431,612,181,false
175,1,435,447,12,false
176,2,435,615,180,false
177,2,439,621,182,false
178,1,442,453,11,false
179,2,442,624,182,false
180,2,446,630,184,false
181,1,450,459,9,false
182,2,450,636,186,false
183,2,454,642,188,false
184,1,458,468,10,false
185,2,458,645,187,false
186,2,461,651,190,false
187,1,465,477,12,false
188,2,465,654,189,false
189,2,469,660,191,false
190,1,472,483,11,false
191,2,472,666,194,false
192,2,476,672,196,false
193,1,480,489,9,false
194,2,480,675,195,false
195,2,484,681,197,false
196,1,488,498,10,false
197,2,488,684,196,false
198,2,491,690,199,false
199,1,495,507,12,false
200,2,495,696,201,false
201,2,499,702,203,false
202,1,502,513,11,false
203,2,502,705,203,false
204,2,506,711,205,false
205,1,510,519,9,false
206,2,510,714,204,false
207,2,514,720,206,false
208,1,518,528,10,false
209,2,518,726,208,false
210,2,521,732,211,false
211,1,525,537,12,false
212,2,525,735,210,false
213,2,529,741,212,false
214,1,532,543,11,false
215,2,532,744,212,false
216,2,536,750,214,false
217,1,540,549,9,false
218,2,540,756,216,false
219,2,544,762,218,false
220,1,548,558,10,false
221,2,548,765,217,false
222,2,551,771,220,false
223,1,555,567,12,false
224,2,555,774,219,false
225,2,559,780,221,false
226,1,562,573,11,false
227,2,562,786,224,false
228,2,566,792,226,false
229,1,570,579,9,false
230,2,570,795,225,false
231,2,574,801,227,false
232,1,578,588,10,false
233,2,578,804,226,false
234,2,581,810,229,false
235,1,585,597,12,false
236,2,585,816,231,false
237,2,589,822,233,false
238,1,592,603,11,false
239,2,592,825,233,false
240,2,596,831,235,false
241,1,600,609,9,false
242,2,600,834,234,false
243,2,604,840,236,false
244,1,608,618,10,false
245,2,608,846,238,false
246,2,611,852,241,false
247,1,615,627,12,false
248,2,615,855,240,false
249,2,619,861,242,false
250,1,622,633,11,false
251,2,622,864,242,false
252,2,626,870,244,false
253,1,630,639,9,false
254,2,630,876,246,false
255,2,634,882,248,false
256,1,638,648,10,false
257,2,638,885,247,false
258,2,641,891,250,false
259,1,645,657,12,false
260,2,645,894,249,false
261,2,649,900,251,false
262,1,652,663,11,false
263,2,652,906,254,false
264,2,656,912,256,false
265,1,660,669,9,false
266,2,660,915,255,false
267,2,664,921,257,false
268,1,668,678,10,false
269,2,668,924,256,false
270,2,671,930,259,false
271,1,675,687,12,false
272,2,675,936,261,false
273,2,679,942,263,false
274,1,682,693,11,false
275,2,682,945,263,false
276,2,686,951,265,false
277,1,690,699,9,false
278,2,690,954,264,false
279,2,694,960,266,false
280,1,698,708,10,false
281,2,698,966,268,false
282,2,701,972,271,false
283,1,705,717,12,false
284,2,705,975,270,false
285,2,709,981,272,false
286,1,712,723,11,false
287,2,712,984,272,false
288,2,716,990,274,false
289,1,720,729,9,false
290,2,720,996,276,false
291,2,724,1002,278,false
292,1,728,738,10,false
293,2,728,1005,277,false
294,2,731,1011,280,false
295,1,735,747,12,false
296,2,735,1014,279,false
297,2,739,1020,281,false
298,1,742,753,11,false
299,2,742,1026,284,false
300,2,746,1032,286,false
301,1,750,759,9,false
302,2,750,1035,285,false
303,2,754,1041,287,false
304,1,758,768,10,false
305,2,758,1044,286,false
306,2,761,1050,289,false
307,1,765,777,12,false
308,2,765,1056,291,false
309,2,769,1062,293,false
310,1,772,783,11,false
311,2,772,1065,293,false
312,2,776,1071,295,false
313,1,780,789,9,false
314,2,780,1074,294,false
315,2,784,1080,296,false
316,1,788,798,10,false
317,2,788,1086,298,false
318,2,791,1092,301,false
319,1,795,807,12,false
320,2,795,1095,300,false
321,2,799,1101,302,false
322,1,802,813,11,false
323,2,802,1104,302,false
324,2,806,1110,304,false
325,1,810,819,9,false
326,2,810,1116,306,false
327,2,814,1122,308,false
328,1,818,828,10,false
329,2,818,1125,307,false
330,2,821,1131,310,false
331,1,825,837,12,false
332,2,825,1134,309,false
333,2,829,1140,311,false
334,1,832,843,11,false
335,2,832,1146,314,false
336,2,836,1152,316,false
337,1,840,849,9,false
338,2,840,1155,315,false
339,2,844,1161,317,false
340,1,848,858,10,false
341,2,848,1164,316,false
342,2,851,1170,319,false
343,1,855,867,12,false
344,2,855,1176,321,false
345,2,859,1182,323,false
346,1,862,873,11,false
347,2,862,1185,323,false
348,2,866,1191,325,false
349,1,870,879,9,false
350,2,870,1194,324,false
351,2,874,1200,326,false
352,1,878,888,10,false
353,2,878,1206,328,false
354,2,881,1212,331,false
355,1,885,897,12,false
356,2,885,1215,330,false
357,2,889,1221,332,false
358,1,892,903,11,false
359,2,892,1224,332,false
360,2,896,1230,334,false
361,1,900,909,9,false
362,2,900,1236,336,false
363,2,904,1242,338,false
364,1,908,918,10,false
365,2,908,1245,337,false
366,2,911,1251,340,false
367,1,915,927,12,false
368,2,915,1254,339,false
369,2,919,1260,341,false
370,1,922,933,11,false
371,2,922,1266,344,false
372,2,926,1272,346,false
373,1,930,939,9,false
374,2,930,1275,345,false
375,2,934,1281,347,false
376,1,938,948,10,false
377,2,938,1284,346,false
378,2,941,1290,349,false
379,1,945,957,12,false
380,2,945,1296,351,false
381,2,949,1302,353,false
382,1,952,963,11,false
383,2,952,1305,353,false
384,2,956,1311,355,false
385,1,960,969,9,false
386,2,960,1314,354,false
387,2,964,1320,356,false
388,1,968,978,10,false
389,2,968,1326,358,false
390,2,971,1332,361,false
391,1,975,987,12,false
392,2,975,1335,360,false
393,2,979,1341,362,false
394,1,982,993,11,false
395,2,982,1344,362,false
396,2,986,1350,364,false
397,1,990,999,9,false
398,2,990,1356,366,false
399,2,994,1362,368,false
400,1,998,1008,10,false
401,2,998,1365,367,false
402,2,1001,1371,370,false
403,1,1005,1017,12,false
404,2,1005,1374,369,false
405,2,1009,1380,371,false
406,1,1012,1023,11,false
407,2,1012,1386,374,false
408,2,1016,1392,376,false
409,1,1020,1029,9,false
410,2,1020,1395,375,false
411,2,1024,1401,377,false
412,1,1028,1038,10,false
413,2,1028,1404,376,false
414,2,1031,1410,379,false
415,1,1035,1047,12,false
416,2,1035,1416,381,false
417,2,1039,1422,383,false
418,1,1042,1053,11,false
419,2,1042,1425,383,false
420,2,1046,1431,385,false
421,1,1050,1059,9,false
422,2,1050,1434,384,false
423,2,1054,1440,386,false
424,1,1058,1068,10,false
425,2,1058,1446,388,false
426,2,1061,1452,391,false
427,1,1065,1077,12,false
428,2,1065,1455,390,false
429,2,1069,1461,392,false
430,1,1072,1083,11,false
431,2,1072,1464,392,false
432,2,1076,1470,394,false
433,1,1080,1089,9,false
434,2,1080,1476,396,false
435,2,1084,1482,398,false
436,1,1088,1098,10,false
437,2,1088,1485,397,false
438,2,1091,1491,400,false
439,1,1095,1107,12,false
440,2,1095,1494,399,false
441,2,1099,1500,401,false
442,1,1102,1113,11,false
443,2,1102,1506,404,false
444,2,1106,1512,406,false
445,1,1110,1119,9,false
446,2,1110,1515,405,false
447,2,1114,1521,407,false
448,1,1118,1128,10,false
449,2,1118,1524,406,false
450,2,1121,1530,409,false
451,1,1125,1137,12,false
452,2,1125,1536,411,false
453,2,1129,1542,413,false
454,1,1132,1143,11,false
455,2,1132,1545,413,false
456,2,1136,1551,415,false
457,1,1140,1149,9,false
458,2,1140,1554,414,false
459,2,1144,1560,416,false
460,1,1148,1158,10,false
461,2,1148,1566,418,false
462,2,1151,1572,421,false
463,1,1155,1167,12,false
464,2,1155,1575,420,false
465,2,1159,1581,422,false
466,1,1162,1173,11,false
467,2,1162,1584,422,false
468,2,1166,1590,424,false
469,1,1170,1179,9,false
470,2,1170,1596,426,false
471,2,1174,1602,428,false
472,1,1178,1188,10,false
473,2,1178,1605,427,false
474,2,1181,1611,430,false
475,1,1185,1197,12,false
476,2,1185,1614,429,false
477,2,1189,1620,431,false
478,1,1192,1203,11,false
479,2,1192,1626,434,false
480,2,1196,1632,436,false
481,1,1200,1209,9,false
482,2,1200,1635,435,false
483,2,1204,1641,437,false
484,1,1208,1218,10,false
485,2,1208,1644,436,false
486,2,1211,1650,439,false
487,1,1215,1227,12,false
488,2,1215,1656,441,false
489,2,1219,1662,443,false
490,1,1222,1233,11,false
491,2,1222,1665,443,false
492,2,1226,1671,445,false
493,1,1230,1239,9,false
494,2,1230,1674,444,false
495,2,1234,1680,446,false
496,1,1238,1248,10,false
497,2,1238,1686,448,false
498,2,1241,1692,451,false
499,1,1245,1257,12,false
500,2,1245,1695,450,false
501,2,1249,1701,452,false
502,1,1252,1263,11,false
503,2,1252,1704,452,false
504,2,1256,1710,454,false
505,1,1260,1269,9,false
506,2,1260,1716,456,false
507,2,1264,1722,458,false
508,1,1268,1278,10,false
509,2,1268,1725,457,false
510,2,1271,1731,460,false
511,1,1275,1287,12,false
512,2,1275,1734,459,false
513,2,1279,1740,461,false
514,1,1282,1293,11,false
515,2,1282,1746,464,false
516,2,1286,1752,466,false
517,1,1290,1299,9,false
518,2,1290,1755,465,false
