cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2001,accepted,UpdateBrainEngine,3,3,0,1,
2002,accepted,UpdateBrainEngine,2,1,0,3,
2003,accepted,UpdateBrainEngine,2,2,0,3,
2003,dispatched,UpdateBrainEngine,3,3,0,1,
2004,accepted,UpdateBrainFlowState,1,1,11,3,
2004,dispatched,UpdateBrainEngine,2,1,0,3,
2005,accepted,UpdateMapperPre,3,2,0,3,
2005,dispatched,UpdateBrainEngine,2,2,0,3,
2006,accepted,UpdateMapperPost,3,3,26,17,
2006,dispatched,UpdateBrainFlowState,1,1,11,3,
2007,accepted,UpdateMapperPre,2,2,0,1,
2007,dispatched,UpdateMapperPre,3,2,0,3,
2008,accepted,UpdateMapperPost,2,1,18,2,
2008,dispatched,UpdateMapperPost,3,3,26,17,
2009,accepted,UpdateMapperPre,1,3,0,1,
2009,dispatched,UpdateMapperPre,2,2,0,1,
2010,accepted,UpdateMapperPost,1,1,11,26,
2010,dispatched,UpdateMapperPost,2,1,18,2,
2011,accepted,UpdateMapperPre,3,3,0,3,
2011,dispatched,UpdateMapperPre,1,3,0,1,
2012,accepted,UpdateMapperPost,3,3,27,18,
2012,dispatched,UpdateMapperPost,1,1,11,26,
2013,accepted,UpdateMapperPre,2,3,0,2,
2013,dispatched,UpdateMapperPre,3,3,0,3,
2014,accepted,UpdateMapperPost,2,2,19,3,
2014,dispatched,UpdateMapperPost,3,3,27,18,
2015,accepted,UpdateMapperNonExist,3,2,0,3,
2015,dispatched,UpdateMapperPre,2,3,0,2,
2016,dispatched,UpdateMapperPost,2,2,19,3,
2017,dispatched,UpdateMapperNonExist,3,2,0,3,
2019,accepted,CommitMapper,1,0,0,0,
2021,dispatched,CommitMapper,1,0,0,0,
2021,committed,CommitMapper,1,0,0,0,
2022,replayed,UpdateMapperPre,3,2,0,3,
2023,replayed,UpdateMapperPost,3,3,26,17,
2024,replayed,UpdateMapperPre,2,2,0,1,
2025,replayed,UpdateMapperPost,2,1,18,2,
2026,replayed,UpdateMapperPre,1,3,0,1,
2027,replayed,UpdateMapperPost,1,1,11,26,
2028,replayed,UpdateMapperPre,3,3,0,3,
2029,replayed,UpdateMapperPost,3,3,27,18,
2030,replayed,UpdateMapperPre,2,3,0,2,
2031,replayed,UpdateMapperPost,2,2,19,3,
2034,accepted,GuardDrain,3,2,0,0,
2035,accepted,UpdateBrainEngine,3,2,0,0,
2036,accepted,UpdateMapperPost,3,2,26,0,
2037,accepted,UpdateBrainState,3,2,0,0,
2038,accepted,CommitMapper,1,0,0,0,
3035,dispatched,GuardDrain,3,2,0,0,
3036,dispatched,UpdateBrainEngine,3,2,0,0,
3037,dispatched,UpdateMapperPost,3,2,26,0,
3038,dispatched,UpdateBrainState,3,2,0,0,
3039,dispatched,CommitMapper,1,0,0,0,
3039,committed,CommitMapper,1,0,0,0,
3040,replayed,UpdateMapperPost,3,2,26,0,
