request_id,flow,flow_name,size_bytes,push_cycle,pop_cycle,delay_cycles,dropped
1,1,zoom,48,0,20,20,false
2,2,gmail,48,0,26,26,false
3,2,gmail,48,4,32,28,false
4,1,zoom,48,8,23,15,false
5,2,gmail,48,8,38,30,false
6,2,gmail,48,11,41,30,false
7,1,zoom,48,15,29,14,false
8,2,gmail,48,15,47,32,false
9,2,gmail,48,19,53,34,false
10,1,zoom,48,22,35,13,false
11,2,gmail,48,22,56,34,false
12,2,gmail,48,26,62,36,false
13,1,zoom,48,30,44,14,false
14,2,gmail,48,30,68,38,false
15,2,gmail,48,34,71,37,false
16,1,zoom,48,38,50,12,false
17,2,gmail,48,38,77,39,false
18,2,gmail,48,41,83,42,false
19,1,zoom,48,45,59,14,false
20,2,gmail,48,45,86,41,false
21,2,gmail,48,49,92,43,false
22,1,zoom,48,52,65,13,false
23,2,gmail,48,52,98,46,false
24,2,gmail,48,56,101,45,false
25,1,zoom,48,60,74,14,false
26,2,gmail,48,60,107,47,false
27,2,gmail,48,64,113,49,false
28,1,zoom,48,68,80,12,false
29,2,gmail,48,68,116,48,false
30,2,gmail,48,71,122,51,false
31,1,zoom,48,75,89,14,false
32,2,gmail,48,75,128,53,false
33,2,gmail,48,79,131,52,false
34,1,zoom,48,82,95,13,false
35,2,gmail,48,82,137,55,false
36,2,gmail,48,86,143,57,false
37,1,zoom,48,90,104,14,false
38,2,gmail,48,90,146,56,false
39,2,gmail,48,94,152,58,false
40,1,zoom,48,98,110,12,false
41,2,gmail,48,98,158,60,false
42,2,gmail,48,101,161,60,false
43,1,zoom,48,105,119,14,false
44,2,gmail,48,105,167,62,false
45,2,gmail,48,109,173,64,false
46,1,zoom,48,112,125,13,false
47,2,gmail,48,112,176,64,false
48,2,gmail,48,116,182,66,false
49,1,zoom,48,120,134,14,false
50,2,gmail,48,120,188,68,false
51,2,gmail,48,124,191,67,false
52,1,zoom,48,128,140,12,false
53,2,gmail,48,128,197,69,false
54,2,gmail,48,131,203,72,false
55,1,zoom,48,135,149,14,false
56,2,gmail,48,135,206,71,false
57,2,gmail,48,139,212,73,false
58,1,zoom,48,142,155,13,false
59,2,gmail,48,142,218,76,false
60,2,gmail,48,146,221,75,false
61,1,zoom,48,150,164,14,false
62,2,gmail,48,150,227,77,false
63,2,gmail,48,154,233,79,false
64,1,zoom,48,158,170,12,false
65,2,gmail,48,158,236,78,false
66,2,gmail,48,161,242,81,false
67,1,zoom,48,165,179,14,false
68,2,gmail,48,165,248,83,false
69,2,gmail,48,169,251,82,false
70,1,zoom,48,172,185,13,false
71,2,gmail,48,172,257,85,false
72,2,gmail,48,176,263,87,false
73,1,zoom,48,180,194,14,false
74,2,gmail,48,180,266,86,false
75,2,gmail,48,184,272,88,false
76,1,zoom,48,188,200,12,false
77,2,gmail,48,188,278,90,false
78,2,gmail,48,191,281,90,false
79,1,zoom,48,195,209,14,false
80,2,gmail,48,195,287,92,false
81,2,gmail,48,199,293,94,false
82,1,zoom,48,202,215,13,false
83,2,gmail,48,202,296,94,false
84,2,gmail,48,206,302,96,false
85,1,zoom,48,210,224,14,false
86,2,gmail,48,210,308,98,false
87,2,gmail,48,214,311,97,false
88,1,zoom,48,218,230,12,false
89,2,gmail,48,218,317,99,false
90,2,gmail,48,221,323,102,false
91,1,zoom,48,225,239,14,false
92,2,gmail,48,225,326,101,false
93,2,gmail,48,229,332,103,false
94,1,zoom,48,232,245,13,false
95,2,gmail,48,232,338,106,false
96,2,gmail,48,236,341,105,false
97,1,zoom,48,240,254,14,false
98,2,gmail,48,240,347,107,false
99,2,gmail,48,244,353,109,false
100,1,zoom,48,248,260,12,false
101,2,gmail,48,248,356,108,false
102,2,gmail,48,251,362,111,false
103,1,zoom,48,255,269,14,false
104,2,gmail,48,255,368,113,false
