request_id,flow,size_bytes,push_cycle,pop_cycle,dropped
1,1,48,0,24,false
2,2,48,0,27,false
3,3,48,0,,false
4,4,48,0,,false
5,5,48,0,30,false
6,6,48,0,36,false
7,7,48,0,42,false
8,8,48,0,33,false
9,9,48,0,45,false
10,10,48,0,66,false
11,3,48,12,,false
12,4,48,15,,false
13,9,48,17,72,false
14,1,48,20,39,false
15,3,48,24,,false
16,5,48,25,51,false
17,10,48,25,75,false
18,2,48,30,48,false
19,4,48,30,,false
20,7,48,30,60,false
21,8,48,30,54,false
22,9,48,33,90,false
23,3,48,36,,false
24,6,48,38,63,false
25,1,48,40,57,false
26,4,48,45,,false
27,3,48,48,,false
28,5,48,50,69,false
29,9,48,50,105,false
30,10,48,50,102,false
31,1,48,60,78,false
32,2,48,60,81,false
33,3,48,60,,false
34,4,48,60,,false
35,7,48,60,87,false
36,8,48,60,84,false
37,9,48,67,126,false
38,3,48,72,,false
39,4,48,75,,false
40,5,48,75,93,false
41,6,48,75,99,false
42,10,48,75,123,false
43,1,48,80,96,false
44,9,48,83,135,false
45,3,48,84,,false
46,2,48,90,108,false
47,4,48,90,,false
48,7,48,90,114,false
49,8,48,90,111,false
50,3,48,96,,false
51,1,48,100,117,false
52,5,48,100,120,false
53,9,48,100,153,false
54,10,48,100,132,false
55,4,48,105,,false
56,3,48,108,,false
57,6,48,112,129,false
58,9,48,117,162,false
59,1,48,120,138,false
60,2,48,120,141,false
61,3,48,120,,false
62,4,48,120,,false
63,7,48,120,150,false
64,8,48,120,147,false
65,5,48,125,144,false
66,10,48,125,156,false
67,3,48,132,,false
68,9,48,133,165,false
69,4,48,135,,false
70,1,48,140,159,false
71,3,48,144,,false
72,2,48,150,178,false
73,4,48,150,,false
74,5,48,150,181,false
75,6,48,150,187,false
76,7,48,150,190,false
77,8,48,150,184,false
78,9,48,150,193,false
79,10,48,150,214,false
80,3,48,156,,false
81,1,48,160,175,false
82,4,48,165,,false
83,9,48,167,223,false
84,3,48,168,,false
85,5,48,175,196,false
86,10,48,175,235,false
87,1,48,180,199,false
88,2,48,180,202,false
89,3,48,180,,false
90,4,48,180,,false
91,7,48,180,208,false
92,8,48,180,205,false
93,9,48,183,247,false
94,6,48,188,211,false
95,3,48,192,,false
96,4,48,195,,false
97,1,48,200,217,false
98,5,48,200,220,false
99,9,48,200,253,false
100,10,48,200,250,false
101,3,48,204,,false
102,2,48,210,226,false
103,4,48,210,,false
104,7,48,210,232,false
105,8,48,210,229,false
106,3,48,216,,false
107,9,48,217,274,false
108,1,48,220,238,false
109,4,48,225,,false
110,5,48,225,241,false
111,6,48,225,244,false
112,10,48,225,256,false
113,3,48,228,,false
114,9,48,233,301,false
115,1,48,240,259,false
116,2,48,240,262,false
117,3,48,240,,false
118,4,48,240,,false
119,7,48,240,271,false
120,8,48,240,265,false
121,5,48,250,268,false
122,9,48,250,307,false
123,10,48,250,283,false
124,3,48,252,,false
125,4,48,255,,false
126,1,48,260,277,false
127,6,48,262,280,false
128,3,48,264,,false
129,9,48,267,310,false
130,2,48,270,286,false
131,4,48,270,,false
132,7,48,270,292,false
133,8,48,270,289,false
134,5,48,275,295,false
135,10,48,275,304,false
136,3,48,276,,false
137,1,48,280,298,false
138,9,48,283,313,false
139,4,48,285,,false
140,3,48,288,,false
141,1,48,300,324,false
142,2,48,300,327,false
143,3,48,300,,false
144,4,48,300,,false
145,5,48,300,330,false
146,6,48,300,336,false
147,7,48,300,342,false
148,8,48,300,333,false
149,9,48,300,345,false
150,10,48,300,366,false
151,3,48,312,,false
152,4,48,315,,false
153,9,48,317,372,false
154,1,48,320,339,false
155,3,48,324,,false
156,5,48,325,351,false
157,10,48,325,375,false
158,2,48,330,348,false
159,4,48,330,,false
160,7,48,330,360,false
161,8,48,330,354,false
162,9,48,333,390,false
163,3,48,336,,false
164,6,48,338,363,false
165,1,48,340,357,false
166,4,48,345,,false
167,3,48,348,,false
168,5,48,350,369,false
169,9,48,350,405,false
170,10,48,350,402,false
171,1,48,360,378,false
172,2,48,360,381,false
173,3,48,360,,false
174,4,48,360,,false
175,7,48,360,387,false
176,8,48,360,384,false
177,9,48,367,426,false
178,3,48,372,,false
179,4,48,375,,false
180,5,48,375,393,false
181,6,48,375,399,false
182,10,48,375,423,false
183,1,48,380,396,false
184,9,48,383,435,false
185,3,48,384,,false
186,2,48,390,408,false
187,4,48,390,,false
188,7,48,390,414,false
189,8,48,390,411,false
190,3,48,396,,false
191,1,48,400,417,false
192,5,48,400,420,false
193,9,48,400,453,false
