run,source,flow,push_cycle,delay_cycles
rio,control,Gmail,0,31
rio,control,Gmail,25,42
rio,control,Gmail,50,47
rio,control,Gmail,75,54
rio,control,Gmail,100,65
rio,control,Gmail,125,69
rio,control,Gmail,150,64
rio,control,Gmail,175,73
rio,control,Gmail,200,80
rio,control,Gmail,225,90
rio,control,Gmail,250,76
rio,control,Gmail,275,87
rio,control,Gmail,300,92
rio,control,Gmail,325,100
rio,control,Gmail,350,110
rio,control,Gmail,375,102
rio,control,Gmail,400,112
rio,control,Gmail,425,113
rio,control,Gmail,450,124
rio,control,Gmail,475,134
rio,control,Gmail,500,118
rio,control,Gmail,525,131
rio,control,Gmail,550,136
rio,control,Gmail,575,130
rio,control,Gmail,600,137
rio,control,Gmail,625,145
rio,control,Gmail,650,156
rio,control,Gmail,675,160
rio,control,Gmail,700,151
rio,control,Gmail,725,155
rio,control,Gmail,750,162
rio,control,Gmail,775,157
rio,control,Gmail,800,165
rio,control,Gmail,825,177
rio,control,Gmail,850,178
rio,control,Gmail,875,188
rio,control,Gmail,900,198
rio,control,Gmail,925,204
rio,control,Gmail,950,195
rio,control,Gmail,975,199
rio,control,Gmail,1000,206
rio,control,Gmail,1025,201
rio,control,Gmail,1050,209
rio,control,Gmail,1075,221
rio,control,Gmail,1100,225
rio,control,Gmail,1125,229
rio,control,Gmail,1150,220
rio,control,Gmail,1175,227
rio,control,Gmail,1200,238
rio,control,Gmail,1225,242
rio,control,Gmail,1250,240
rio,control,Gmail,1275,240
rio,control,Gmail,1300,235
rio,control,Gmail,1325,240
rio,control,Gmail,1350,249
rio,control,Gmail,1375,259
rio,control,Gmail,1400,263
rio,control,Gmail,1425,270
rio,control,Gmail,1450,265
rio,control,Gmail,1475,273
rio,control,Gmail,1500,283
rio,control,Gmail,1525,287
rio,control,Gmail,1550,279
rio,control,Gmail,1575,284
rio,control,Gmail,1600,292
rio,control,Gmail,1625,303
rio,control,Gmail,1650,307
rio,control,Gmail,1675,305
rio,control,Gmail,1700,306
rio,control,Gmail,1725,316
rio,control,Gmail,1750,324
rio,control,Gmail,1775,326
rio,control,Gmail,1800,316
rio,control,Gmail,1825,319
rio,control,Gmail,1850,312
rio,control,Gmail,1875,300
rio,control,Gmail,1900,308
rio,control,Gmail,1925,296
rio,control,Gmail,1950,307
rio,control,Gmail,1975,291
rio,control,Gmail,2000,300
rio,control,Gmail,2033,282
rio,control,Gmail,2067,280
rio,control,Gmail,2100,262
rio,control,Gmail,2133,262
rio,control,Gmail,2167,237
rio,control,Gmail,2200,223
rio,control,Gmail,2233,217
rio,control,Gmail,2267,198
rio,control,Gmail,2300,196
rio,control,Gmail,2333,181
rio,control,Gmail,2367,178
rio,control,Gmail,2400,157
rio,control,Gmail,2433,143
rio,control,Gmail,2467,136
rio,control,Gmail,2500,126
rio,control,Gmail,2533,120
rio,control,Gmail,2567,101
rio,control,Gmail,2600,95
rio,control,Gmail,2633,83
rio,control,Gmail,2667,77
rio,control,Gmail,2700,59
rio,control,Gmail,2733,42
rio,control,Gmail,2767,38
rio,control,Gmail,2800,30
rio,control,Gmail,2833,27
rio,control,Gmail,2867,33
rio,control,Gmail,2900,32
rio,control,Gmail,2933,32
rio,control,Gmail,2967,28
rio,control,Gmail,3000,29
rio,control,Gmail,3033,26
rio,control,Gmail,3067,29
rio,control,Gmail,3100,27
rio,control,Gmail,3133,24
rio,control,Gmail,3167,27
rio,control,Gmail,3200,29
rio,control,Gmail,3233,29
rio,control,Gmail,3267,28
rio,control,Gmail,3300,29
rio,control,Gmail,3333,23
rio,control,Gmail,3367,26
rio,control,Gmail,3400,27
rio,control,Gmail,3433,24
rio,control,Gmail,3467,27
rio,control,Gmail,3500,22
rio,control,Gmail,3533,17
rio,control,Gmail,3567,19
rio,control,Gmail,3600,23
rio,control,Gmail,3633,20
rio,control,Gmail,3667,23
rio,control,Gmail,3700,24
rio,control,Gmail,3733,24
rio,control,Gmail,3767,24
rio,control,Gmail,3800,22
rio,control,Gmail,3833,17
rio,control,Gmail,3867,22
rio,control,Gmail,3900,23
rio,control,Gmail,3933,23
rio,control,Gmail,3967,23
rio,control,Gmail,4000,24
rio,control,Gmail,4033,24
rio,control,Gmail,4067,24
rio,control,Gmail,4100,29
rio,control,Gmail,4133,17
rio,control,Gmail,4167,16
rio,control,Gmail,4200,20
rio,control,Gmail,4233,17
rio,control,Gmail,4267,17
rio,control,Gmail,4300,21
rio,control,Gmail,4333,21
rio,control,Gmail,4367,21
rio,control,Gmail,4400,29
rio,control,Gmail,4433,17
rio,control,Gmail,4467,16
rio,control,Gmail,4500,20
rio,control,Gmail,4533,17
rio,control,Gmail,4567,17
rio,control,Gmail,4600,21
rio,control,Gmail,4633,21
rio,control,Gmail,4667,21
rio,control,Gmail,4700,29
rio,control,Gmail,4733,17
rio,control,Gmail,4767,16
rio,control,Gmail,4800,20
rio,control,Gmail,4833,17
rio,control,Gmail,4867,17
rio,control,Gmail,4900,21
rio,control,Gmail,4933,21
rio,control,Gmail,4967,21
rio,control,Gmail,5000,28
rio,control,Gmail,5033,24
rio,control,Gmail,5067,24
rio,control,Gmail,5100,28
rio,control,Gmail,5133,25
rio,control,Gmail,5167,25
rio,control,Gmail,5200,29
rio,control,Gmail,5233,26
rio,control,Gmail,5267,26
rio,control,Gmail,5300,27
rio,control,Gmail,5333,26
rio,control,Gmail,5367,25
rio,control,Gmail,5400,29
rio,control,Gmail,5433,24
rio,control,Gmail,5467,25
rio,control,Gmail,5500,29
rio,control,Gmail,5533,26
rio,control,Gmail,5567,26
rio,control,Gmail,5600,27
rio,control,Gmail,5633,26
rio,control,Gmail,5667,25
rio,control,Gmail,5700,29
rio,control,Gmail,5733,24
rio,control,Gmail,5767,25
rio,control,Gmail,5800,29
