cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2016,accepted,StopWorld,1,1,0,0,
2017,accepted,UpdateMapperPre,1,1,0,0,
2018,accepted,UpdateMapperPre,1,2,0,0,
2018,dispatched,StopWorld,1,1,0,0,
2019,accepted,UpdateMapperPre,1,3,0,0,
2020,accepted,UpdateMapperPre,1,4,0,0,
2052,dispatched,UpdateMapperPre,1,1,0,0,
2053,accepted,UpdateMapperPre,1,5,0,0,
2053,dispatched,UpdateMapperPre,1,2,0,0,
2054,accepted,UpdateMapperPre,1,6,0,0,
2054,dispatched,UpdateMapperPre,1,3,0,0,
2055,accepted,UpdateMapperPre,1,7,0,0,
2055,dispatched,UpdateMapperPre,1,4,0,0,
2056,accepted,UpdateMapperPre,1,8,0,0,
2056,dispatched,UpdateMapperPre,1,5,0,0,
2057,accepted,UpdateMapperPre,1,9,0,0,
2057,dispatched,UpdateMapperPre,1,6,0,0,
2058,accepted,UpdateMapperPre,1,10,0,0,
2058,dispatched,UpdateMapperPre,1,7,0,0,
2059,accepted,UpdateMapperPre,2,1,0,0,
2059,dispatched,UpdateMapperPre,1,8,0,0,
2060,accepted,UpdateMapperPre,2,2,0,0,
2060,dispatched,UpdateMapperPre,1,9,0,0,
2061,accepted,UpdateMapperPre,2,3,0,0,
2061,dispatched,UpdateMapperPre,1,10,0,0,
2062,accepted,UpdateMapperPre,2,4,0,0,
2062,dispatched,UpdateMapperPre,2,1,0,0,
2063,accepted,UpdateMapperPre,2,5,0,0,
2063,dispatched,UpdateMapperPre,2,2,0,0,
2064,accepted,UpdateMapperPre,2,6,0,0,
2064,dispatched,UpdateMapperPre,2,3,0,0,
2065,accepted,UpdateMapperPre,2,7,0,0,
2065,dispatched,UpdateMapperPre,2,4,0,0,
2066,accepted,UpdateMapperPre,2,8,0,0,
2066,dispatched,UpdateMapperPre,2,5,0,0,
2067,accepted,UpdateMapperPre,2,9,0,0,
2067,dispatched,UpdateMapperPre,2,6,0,0,
2068,accepted,UpdateMapperPre,2,10,0,0,
2068,dispatched,UpdateMapperPre,2,7,0,0,
2069,accepted,UpdateMapperPre,3,1,0,0,
2069,dispatched,UpdateMapperPre,2,8,0,0,
2070,accepted,UpdateMapperPre,3,2,0,0,
2070,dispatched,UpdateMapperPre,2,9,0,0,
2071,accepted,UpdateMapperPre,3,3,0,0,
2071,dispatched,UpdateMapperPre,2,10,0,0,
2072,accepted,UpdateMapperPre,3,4,0,0,
2072,dispatched,UpdateMapperPre,3,1,0,0,
2073,accepted,UpdateMapperPre,3,5,0,0,
2073,dispatched,UpdateMapperPre,3,2,0,0,
2074,accepted,UpdateMapperPre,3,6,0,0,
2074,dispatched,UpdateMapperPre,3,3,0,0,
2075,accepted,UpdateMapperPre,3,7,0,0,
2075,dispatched,UpdateMapperPre,3,4,0,0,
2076,accepted,UpdateMapperPre,3,8,0,0,
2076,dispatched,UpdateMapperPre,3,5,0,0,
2077,accepted,UpdateMapperPre,3,9,0,0,
2077,dispatched,UpdateMapperPre,3,6,0,0,
2078,accepted,UpdateMapperPre,3,10,0,0,
2078,dispatched,UpdateMapperPre,3,7,0,0,
2079,accepted,UpdateBrainEngine,4,1,0,4,
2079,dispatched,UpdateMapperPre,3,8,0,0,
2080,accepted,UpdateRankQuantum,4,1,1,20,
2080,dispatched,UpdateMapperPre,3,9,0,0,
2081,accepted,UpdateBrainEngine,5,1,0,2,
2081,dispatched,UpdateMapperPre,3,10,0,0,
2082,accepted,UpdateRankGroup,4,1,1,1,
2082,dispatched,UpdateBrainEngine,4,1,0,4,
2083,accepted,UpdateBrainEngine,6,1,0,3,
2083,dispatched,UpdateRankQuantum,4,1,1,20,
2084,accepted,UpdateBrainFlowState,5,1,81,1,
2084,dispatched,UpdateBrainEngine,5,1,0,2,
2085,accepted,UpdateRankGroup,4,1,2,1,
2085,dispatched,UpdateRankGroup,4,1,1,1,
2086,accepted,UpdateBrainEngine,6,2,0,3,
2086,dispatched,UpdateBrainEngine,6,1,0,3,
2087,accepted,UpdateBrainFlowState,5,1,82,2,
2087,dispatched,UpdateBrainFlowState,5,1,81,1,
2088,accepted,UpdateRankQuantum,4,1,2,120,
2088,dispatched,UpdateRankGroup,4,1,2,1,
2089,accepted,UpdateBrainEngine,5,2,0,4,
2089,dispatched,UpdateBrainEngine,6,2,0,3,
2090,accepted,UpdateRankGroup,4,1,9,2,
2090,dispatched,UpdateBrainFlowState,5,1,82,2,
2091,accepted,UpdateBrainEngine,6,9,0,3,
2091,dispatched,UpdateRankQuantum,4,1,2,120,
2092,accepted,UpdateRankGroup,5,2,9,9,
2092,dispatched,UpdateBrainEngine,5,2,0,4,
2093,accepted,UpdateRankQuantum,5,2,9,120,
2093,dispatched,UpdateRankGroup,4,1,9,2,
2094,accepted,UpdateRankGroup,4,1,10,2,
2094,dispatched,UpdateBrainEngine,6,9,0,3,
2095,accepted,UpdateBrainEngine,6,10,0,3,
2095,dispatched,UpdateRankGroup,5,2,9,9,
2096,accepted,UpdateRankGroup,5,2,10,10,
2096,dispatched,UpdateRankQuantum,5,2,9,120,
2097,accepted,UpdateRankQuantum,5,2,10,120,
2097,dispatched,UpdateRankGroup,4,1,10,2,
2098,accepted,UpdateRankQuantum,4,1,3,40,
2098,dispatched,UpdateBrainEngine,6,10,0,3,
2099,accepted,UpdateBrainEngine,5,3,0,4,
2099,dispatched,UpdateRankGroup,5,2,10,10,
2100,accepted,UpdateRankGroup,4,1,5,3,
2100,dispatched,UpdateRankQuantum,5,2,10,120,
2101,accepted,UpdateBrainEngine,6,5,0,3,
2101,dispatched,UpdateRankQuantum,4,1,3,40,
2102,accepted,UpdateRankGroup,5,3,5,5,
2102,dispatched,UpdateBrainEngine,5,3,0,4,
2103,accepted,UpdateRankQuantum,5,3,5,120,
2103,dispatched,UpdateRankGroup,4,1,5,3,
2104,accepted,UpdateRankGroup,4,1,6,3,
2104,dispatched,UpdateBrainEngine,6,5,0,3,
2105,accepted,UpdateBrainEngine,6,6,0,3,
2105,dispatched,UpdateRankGroup,5,3,5,5,
2106,accepted,UpdateRankGroup,5,3,6,6,
2106,dispatched,UpdateRankQuantum,5,3,5,120,
2107,accepted,UpdateRankQuantum,5,3,6,120,
2107,dispatched,UpdateRankGroup,4,1,6,3,
2108,accepted,UpdateRankQuantum,4,1,5,40,
2108,dispatched,UpdateBrainEngine,6,6,0,3,
2109,accepted,UpdateBrainEngine,5,5,0,4,
2109,dispatched,UpdateRankGroup,5,3,6,6,
2110,accepted,UpdateRankGroup,4,1,7,5,
2110,dispatched,UpdateRankQuantum,5,3,6,120,
