cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2001,driver_stop,1,1,273,288,11
2017,hardware_stop,1,1,273,284,11
2050,stop_snapshot,1,1,273,295,22
2247,prefill_started,7,1,273,346,73
2521,prefill_finished,7,1,273,424,151
2521,root_detached,1,1,273,424,151
2521,root_published,7,1,273,424,151
2521,drain_watch_armed,1,1,273,424,151
2521,driver_resume,1,1,273,424,151
2522,hardware_resume,1,1,273,424,151
3441,root_detached,7,1,380,386,0
3441,root_published,4,1,382,386,0
3488,clear_engine,7,0,379,381,0
