cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2001,driver_stop,1,1,326,342,12
2019,hardware_stop,1,1,325,337,12
2052,stop_snapshot,1,1,325,348,23
2052,copy_source,3,2,45,348,23
2052,copy_source,3,3,85,348,23
2052,copy_source,3,4,53,348,23
2052,copy_source,3,5,11,348,23
2052,copy_source,3,6,1,348,23
2052,copy_source,3,7,12,348,23
2052,copy_source,3,9,79,348,23
2052,copy_source,3,10,39,348,23
2379,copy_source,2,1,45,440,115
2379,copy_source,2,2,118,440,115
2379,copy_source,2,3,12,440,115
2379,copy_source,2,4,138,440,115
2379,copy_source,2,5,12,440,115
2706,copy_source,1,1,325,533,208
3260,prefill_started,1,1,325,688,363
3586,prefill_finished,1,1,325,781,456
3586,root_detached,1,1,325,781,456
3586,root_published,1,1,325,781,456
3586,drain_watch_armed,4,1,325,781,456
3586,driver_resume,1,1,325,781,456
3587,hardware_resume,1,1,325,781,456
4663,root_detached,1,1,505,735,223
4663,root_published,2,1,507,735,223
4710,clear_engine,1,0,505,734,221
