request_id,global_flow_id,size_bytes,arrival_cycle,admitted_cycle,completed_cycle,admission_delay_cycles,sojourn_cycles
3,3,48,0,3,25,3,25
1,1,48,0,1,28,1,28
5,5,48,0,5,31,5,31
8,8,48,0,8,34,8,34
4,4,48,0,4,37,4,37
9,9,48,0,9,40,9,40
14,1,48,20,22,44,2,24
6,6,48,0,6,47,6,47
7,7,48,0,7,51,7,51
11,3,48,12,13,54,1,42
10,10,48,0,10,58,10,58
12,4,48,15,16,61,1,46
25,1,48,40,41,64,1,24
16,5,48,25,26,67,1,42
21,8,48,30,35,71,5,41
15,3,48,24,25,74,1,50
31,1,48,60,61,77,1,17
36,8,48,60,66,81,6,21
24,6,48,38,40,84,2,46
13,9,48,17,19,87,2,70
19,4,48,30,33,90,3,60
43,1,48,80,81,93,1,13
28,5,48,50,52,97,2,47
20,7,48,30,34,100,4,70
23,3,48,36,37,103,1,67
17,10,48,25,27,106,2,81
26,4,48,45,46,110,1,65
51,1,48,100,101,113,1,13
49,8,48,90,94,116,4,26
41,6,48,75,79,120,4,45
27,3,48,48,49,123,1,75
2,2,48,0,2,126,2,126
40,5,48,75,78,129,3,54
35,7,48,60,65,132,5,72
22,9,48,33,36,135,3,102
34,4,48,60,64,138,4,78
59,1,48,120,122,142,2,22
64,8,48,120,127,146,7,26
57,6,48,112,113,149,1,37
33,3,48,60,63,153,3,93
30,10,48,50,54,156,4,106
39,4,48,75,77,159,2,84
70,1,48,140,141,162,1,22
52,5,48,100,102,165,2,65
48,7,48,90,93,168,3,78
38,3,48,72,74,172,2,100
81,1,48,160,161,176,1,16
77,8,48,150,157,179,7,29
75,6,48,150,155,182,5,32
29,9,48,50,53,185,3,135
47,4,48,90,92,188,2,98
18,2,48,30,32,191,2,161
65,5,48,125,128,194,3,69
63,7,48,120,126,197,6,77
45,3,48,84,85,201,1,117
42,10,48,75,80,205,5,130
55,4,48,105,107,208,2,103
87,1,48,180,182,211,2,31
74,5,48,150,154,214,4,64
92,8,48,180,187,217,7,37
50,3,48,96,97,221,1,125
97,1,48,200,202,224,2,24
94,6,48,188,189,227,1,39
105,8,48,210,214,231,4,21
37,9,48,67,69,235,2,168
62,4,48,120,125,238,5,118
108,1,48,220,221,241,1,21
76,7,48,150,156,245,6,95
85,5,48,175,176,248,1,73
56,3,48,108,110,251,2,143
54,10,48,100,104,254,4,154
69,4,48,135,136,257,1,122
