cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
610,accepted,StopWorld,1,10,0,0,
611,accepted,UpdateBrainEngine,1,11,0,2,
612,accepted,UpdateBrainFlowState,1,11,33,1,
612,dispatched,StopWorld,1,10,0,0,
613,accepted,UpdateBrainFlowState,1,11,34,32769,
614,accepted,UpdateBrainEngine,2,10,0,3,
615,accepted,UpdateBrainEngine,2,11,0,3,
616,accepted,UpdateMapperPre,1,1,0,11,
617,accepted,UpdateMapperPost,1,11,33,74,
618,accepted,UpdateMapperPre,2,1,0,10,
619,accepted,UpdateMapperPost,2,10,65,1,
620,accepted,UpdateMapperPre,1,2,0,11,
621,accepted,UpdateMapperPost,1,11,34,75,
622,accepted,UpdateMapperPre,2,2,0,11,
623,accepted,UpdateMapperPost,2,11,66,2,
624,accepted,UpdateBrainEngine,3,10,0,2,
625,accepted,UpdateBrainFlowState,3,10,97,2,
626,accepted,UpdateMapperPre,3,1,0,10,
627,accepted,UpdateMapperPost,3,10,97,43,
628,accepted,UpdateBrainFlowState,3,10,98,2,
629,accepted,UpdateMapperPre,3,2,0,10,
630,accepted,UpdateMapperPost,3,10,98,43,
631,accepted,UpdateMapperPost,3,10,127,42,
632,accepted,PrefillPifo,3,10,127,0,
633,accepted,UpdateRoot,3,10,0,0,
634,accepted,CommitMapper,1,0,0,0,
646,dispatched,UpdateBrainEngine,1,11,0,2,
647,dispatched,UpdateBrainFlowState,1,11,33,1,
648,dispatched,UpdateBrainFlowState,1,11,34,32769,
649,dispatched,UpdateBrainEngine,2,10,0,3,
650,dispatched,UpdateBrainEngine,2,11,0,3,
651,dispatched,UpdateMapperPre,1,1,0,11,
652,dispatched,UpdateMapperPost,1,11,33,74,
653,dispatched,UpdateMapperPre,2,1,0,10,
654,dispatched,UpdateMapperPost,2,10,65,1,
655,dispatched,UpdateMapperPre,1,2,0,11,
656,dispatched,UpdateMapperPost,1,11,34,75,
657,dispatched,UpdateMapperPre,2,2,0,11,
658,dispatched,UpdateMapperPost,2,11,66,2,
659,dispatched,UpdateBrainEngine,3,10,0,2,
660,dispatched,UpdateBrainFlowState,3,10,97,2,
661,dispatched,UpdateMapperPre,3,1,0,10,
662,dispatched,UpdateMapperPost,3,10,97,43,
663,dispatched,UpdateBrainFlowState,3,10,98,2,
664,dispatched,UpdateMapperPre,3,2,0,10,
665,dispatched,UpdateMapperPost,3,10,98,43,
666,dispatched,UpdateMapperPost,3,10,127,42,
667,dispatched,PrefillPifo,3,10,127,0,
668,dispatched,UpdateRoot,3,10,0,0,
816,dispatched,CommitMapper,1,0,0,0,
816,committed,CommitMapper,1,0,0,0,
817,replayed,UpdateMapperPre,1,1,0,11,
818,replayed,UpdateMapperPost,1,11,33,74,
819,replayed,UpdateMapperPre,2,1,0,10,
820,replayed,UpdateMapperPost,2,10,65,1,
821,replayed,UpdateMapperPre,1,2,0,11,
822,replayed,UpdateMapperPost,1,11,34,75,
823,replayed,UpdateMapperPre,2,2,0,11,
824,replayed,UpdateMapperPost,2,11,66,2,
827,replayed,UpdateMapperPre,3,1,0,10,
828,replayed,UpdateMapperPost,3,10,97,43,
830,replayed,UpdateMapperPre,3,2,0,10,
831,replayed,UpdateMapperPost,3,10,98,43,
832,replayed,UpdateMapperPost,3,10,127,42,
836,accepted,GuardDrain,1,10,0,0,
837,accepted,GuardDrain,2,12,0,0,
838,accepted,GuardDrain,2,13,0,0,
839,accepted,UpdateBrainEngine,1,10,0,0,
840,accepted,UpdateBrainEngine,2,12,0,0,
841,accepted,UpdateBrainEngine,2,13,0,0,
842,accepted,UpdateMapperPost,1,10,33,0,
843,accepted,UpdateMapperPost,2,12,65,0,
844,accepted,UpdateMapperPost,1,10,34,0,
845,accepted,UpdateMapperPost,2,13,66,0,
846,accepted,UpdateBrainState,1,10,0,0,
847,accepted,UpdateBrainState,2,12,0,0,
848,accepted,UpdateBrainState,2,13,0,0,
849,accepted,UpdateMapperPre,3,1,0,0,
850,accepted,UpdateMapperPre,3,2,0,0,
851,accepted,UpdateRoot,1,11,0,0,
852,accepted,CommitMapper,1,0,0,0,
