window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction
-303,17,-744,0,0,0,0,0,0
-295,25,-736,0.000629175312983,9.83086426536e-06,0.000629175312983,0,9.83086426536e-06,0
-287,33,-728,0.0120278998497,0.000187935935152,0.00842832631141,0.00359957353831,0.000131692598616,5.62433365362e-05
-279,41,-720,0.0482331962962,0.000753643692129,0.0310871640404,0.0171460322558,0.000485736938131,0.000267906753998
-271,49,-712,0.123379285847,0.00192780134135,0.0755904127753,0.0477888730712,0.00118110019961,0.000746701141738
-263,57,-704,0.249888728892,0.00390451138893,0.149277929656,0.100610799235,0.00233246765088,0.00157204373805
-255,65,-696,0.438986755048,0.00685916804763,0.257015669142,0.181971085906,0.00401586983034,0.00284329821729
-247,73,-688,0.702212044591,0.0109720631967,0.403132322143,0.299079722448,0.00629894253348,0.00467312066325
-239,81,-680,1.04606367991,0.0163447449986,0.590543472222,0.455520207689,0.00922724175348,0.00711750324513
-231,89,-672,1.47521502021,0.0230502346907,0.822510443534,0.652704576671,0.0128517256802,0.0101985090105
-223,97,-664,1.99092345925,0.0311081790508,1.09958334835,0.891340110896,0.017180989818,0.0139271892328
-215,105,-656,2.59395184283,0.0405304975442,1.4214183928,1.17253345003,0.0222096623875,0.0183208351568
-207,113,-648,3.28257815331,0.0512902836455,1.78681060846,1.49576754485,0.0279189157572,0.0233713678882
-199,121,-640,4.0559969769,0.0633749527641,2.19308826177,1.86290871513,0.0342670040901,0.0291079486739
-191,129,-632,4.91139121812,0.0767404877831,2.63665856096,2.27473265716,0.041197790015,0.0355426977681
-183,137,-624,5.84100556221,0.0912657119095,3.11417639292,2.72682916929,0.0486590061394,0.0426067057702
-175,145,-616,6.83471782385,0.106792465998,3.62045673096,3.21426109289,0.0565696364212,0.0502228295765
-167,153,-608,7.88082522892,0.123137894202,4.14946085485,3.73136437406,0.0648353258571,0.0583025683447
-159,161,-600,8.96614277689,0.140095980889,4.69579510433,4.27034767255,0.0733717985052,0.0667241823837
-151,169,-592,10.075889911,0.157435779859,5.25286653485,4.82302337611,0.082076039607,0.0753597402517
-143,177,-584,11.1981055508,0.174970399231,5.81518822529,5.38291732552,0.0908623160202,0.0841080832112
-135,185,-576,12.3183108126,0.192473606447,6.37422963632,5.94408117629,0.0995973380676,0.0928762683796
-127,193,-568,13.4230749042,0.209735545379,6.92305516696,6.50001973726,0.108172736984,0.101562808395
-119,201,-560,14.4995643668,0.226555693231,7.45840476373,7.04115960305,0.116537574433,0.110018118798
-111,209,-552,15.5367224746,0.242761288666,7.97668734456,7.56003513007,0.124635739759,0.118125548907
-103,217,-544,16.5213695225,0.258146398789,8.47213482051,8.049234702,0.13237710657,0.125769292219
-95,225,-536,17.44081579,0.272512746719,8.93883841904,8.50197737096,0.139669350297,0.132843396421
-87,233,-528,18.2920650689,0.285813516702,9.3762645684,8.9158005005,0.146504133881,0.13930938282
-79,241,-520,19.0694966201,0.297960884689,9.78115497345,9.28834164664,0.15283054646,0.145130338229
-71,249,-512,19.7665037268,0.308851620731,10.1498459649,9.61665776194,0.158591343201,0.15026027753
-63,257,-504,20.3821645466,0.318471321041,10.4817925233,9.90037202331,0.163778008177,0.154693312864
-55,265,-496,20.9168798664,0.326826247912,10.7770136375,10.1398662289,0.168390838085,0.158435409827
-47,273,-488,21.3705826084,0.333915353256,11.0344902405,10.3360923679,0.172413910008,0.161501443248
-39,281,-480,21.7445571945,0.339758706165,11.2541958953,10.4903612992,0.175846810864,0.163911895301
-31,289,-472,22.0420653708,0.344407271419,11.4368232812,10.6052420896,0.178700363769,0.16570690765
-23,297,-464,22.2663691664,0.347912018225,11.5818268041,10.6845423623,0.180966043813,0.166945974412
-15,305,-456,22.423719498,0.350370617157,11.6904553288,10.7332641692,0.182663364512,0.167707252644
-7,313,-448,22.5228775125,0.351919961132,11.7672764929,10.7556010195,0.183863695202,0.16805626593
1,321,-440,22.5734132311,0.352709581736,11.8154534567,10.7579597744,0.184616460261,0.168093121475
9,329,-432,22.5878494648,0.352935147887,11.8403820383,10.7474674265,0.185005969348,0.167929178539
17,337,-424,22.5820192554,0.352844050865,11.8506508634,10.7313683919,0.185166419741,0.167677631124
25,345,-416,22.5720523506,0.352688317978,11.852161697,10.7198906536,0.185190026516,0.167498291463
