request_id,flow_id,input_cycle,output_cycle,input_relative_to_start,output_relative_to_start
1,1,0,20,-601,-581
2,2,0,23,-601,-578
3,1,5,31,-596,-570
4,2,5,34,-596,-567
5,1,10,42,-591,-559
6,2,10,45,-591,-556
7,1,15,53,-586,-548
8,2,15,56,-586,-545
9,1,20,64,-581,-537
10,2,20,67,-581,-534
11,1,25,75,-576,-526
12,2,25,78,-576,-523
13,1,30,86,-571,-515
14,2,30,89,-571,-512
15,1,35,97,-566,-504
16,2,35,100,-566,-501
17,1,40,108,-561,-493
18,2,40,111,-561,-490
19,1,46,119,-555,-482
20,2,46,122,-555,-479
21,1,51,130,-550,-471
22,2,51,133,-550,-468
23,1,56,141,-545,-460
24,2,56,144,-545,-457
25,1,61,152,-540,-449
26,2,61,155,-540,-446
27,1,66,163,-535,-438
28,2,66,166,-535,-435
29,1,71,174,-530,-427
30,2,71,177,-530,-424
31,1,76,185,-525,-416
32,2,76,188,-525,-413
33,1,81,196,-520,-405
34,2,81,199,-520,-402
35,1,86,207,-515,-394
36,2,86,210,-515,-391
37,1,90,218,-511,-383
38,2,90,221,-511,-380
39,1,95,229,-506,-372
40,2,95,232,-506,-369
41,1,99,240,-502,-361
42,2,99,243,-502,-358
43,1,104,251,-497,-350
44,2,104,254,-497,-347
45,1,109,262,-492,-339
46,2,109,265,-492,-336
47,1,113,273,-488,-328
48,2,113,276,-488,-325
49,1,118,284,-483,-317
50,2,118,287,-483,-314
51,1,124,295,-477,-306
52,2,124,298,-477,-303
53,1,129,306,-472,-295
54,2,129,309,-472,-292
55,1,134,317,-467,-284
56,2,134,320,-467,-281
57,1,139,328,-462,-273
58,2,139,331,-462,-270
59,1,144,339,-457,-262
60,2,144,342,-457,-259
61,1,148,350,-453,-251
62,2,148,353,-453,-248
63,1,153,361,-448,-240
64,2,153,364,-448,-237
65,1,158,372,-443,-229
66,2,158,375,-443,-226
67,1,163,383,-438,-218
68,2,163,386,-438,-215
69,1,168,394,-433,-207
70,2,168,397,-433,-204
71,1,174,405,-427,-196
72,2,174,408,-427,-193
73,1,179,416,-422,-185
74,2,179,419,-422,-182
75,1,183,427,-418,-174
76,2,183,430,-418,-171
77,1,188,438,-413,-163
78,2,188,441,-413,-160
79,1,193,449,-408,-152
80,2,193,452,-408,-149
81,1,198,460,-403,-141
82,2,198,463,-403,-138
83,1,203,471,-398,-130
84,2,203,474,-398,-127
85,1,208,482,-393,-119
86,2,208,485,-393,-116
87,1,212,493,-389,-108
88,2,212,496,-389,-105
89,1,217,504,-384,-97
90,2,217,507,-384,-94
91,1,222,515,-379,-86
92,2,222,518,-379,-83
93,1,226,526,-375,-75
94,2,226,529,-375,-72
95,1,231,537,-370,-64
96,2,231,540,-370,-61
97,1,235,548,-366,-53
98,2,235,551,-366,-50
99,1,240,559,-361,-42
100,2,240,562,-361,-39
101,1,245,570,-356,-31
102,2,245,573,-356,-28
103,1,249,581,-352,-20
104,2,249,584,-352,-17
105,1,254,592,-347,-9
106,2,254,595,-347,-6
107,1,259,603,-342,2
108,2,259,606,-342,5
109,1,264,827,-337,226
110,2,264,830,-337,229
111,1,269,842,-332,241
112,2,269,845,-332,244
113,1,274,857,-327,256
114,2,274,860,-327,259
115,1,279,872,-322,271
116,2,279,875,-322,274
117,1,284,887,-317,286
118,2,284,890,-317,289
119,1,288,902,-313,301
120,2,288,905,-313,304
121,1,293,917,-308,316
122,2,293,920,-308,319
123,1,297,932,-304,331
124,2,297,935,-304,334
125,1,302,947,-299,346
126,2,302,950,-299,349
127,1,307,962,-294,361
128,2,307,965,-294,364
129,1,311,977,-290,376
130,2,311,980,-290,379
131,1,316,992,-285,391
132,2,316,995,-285,394
133,1,321,1007,-280,406
134,2,321,1010,-280,409
135,1,325,1022,-276,421
136,2,325,1025,-276,424
137,1,329,1037,-272,436
138,2,329,1040,-272,439
139,1,334,1052,-267,451
140,2,334,1055,-267,454
141,1,339,1067,-262,466
142,2,339,1070,-262,469
143,1,344,1082,-257,481
144,2,344,1085,-257,484
145,1,349,1097,-252,496
146,2,349,1100,-252,499
147,1,353,1112,-248,511
148,2,353,1115,-248,514
149,1,358,1127,-243,526
150,2,358,1130,-243,529
151,1,362,1142,-239,541
152,2,362,1145,-239,544
153,1,367,1157,-234,556
154,2,367,1160,-234,559
155,1,372,1172,-229,571
156,2,372,1175,-229,574
157,1,376,1187,-225,586
158,2,376,1190,-225,589
159,1,382,1202,-219,601
160,2,382,1205,-219,604
161,1,387,1217,-214,616
162,2,387,1220,-214,619
163,1,392,1232,-209,631
164,2,392,1235,-209,634
165,1,397,1247,-204,646
166,2,397,1250,-204,649
167,1,403,1262,-198,661
168,2,403,1265,-198,664
169,1,407,1277,-194,676
170,2,407,1280,-194,679
171,1,413,1292,-188,691
172,2,413,1295,-188,694
173,1,418,1307,-183,706
174,2,418,1310,-183,709
175,1,423,1322,-178,721
176,2,423,1325,-178,724
177,1,427,1337,-174,736
178,2,427,1340,-174,739
179,1,432,1352,-169,751
180,2,432,1355,-169,754
181,1,437,1367,-164,766
182,2,437,1370,-164,769
183,1,442,1382,-159,781
184,2,442,1385,-159,784
185,1,446,1397,-155,796
186,2,446,1400,-155,799
187,1,451,1412,-150,811
188,2,451,1415,-150,814
189,1,455,1427,-146,826
190,2,455,1430,-146,829
191,1,460,1442,-141,841
192,2,460,1445,-141,844
193,1,465,1457,-136,856
194,2,465,1460,-136,859
195,1,470,1472,-131,871
196,2,470,1475,-131,874
197,1,474,1487,-127,886
198,2,474,1490,-127,889
199,1,478,1502,-123,901
200,2,478,1505,-123,904
201,1,484,1517,-117,916
202,2,484,1520,-117,919
203,1,489,1532,-112,931
204,2,489,1535,-112,934
205,1,494,1547,-107,946
206,2,494,1550,-107,949
207,1,499,1562,-102,961
208,2,499,1565,-102,964
209,1,504,1577,-97,976
210,2,504,1580,-97,979
211,1,509,1592,-92,991
212,2,509,1595,-92,994
213,1,514,1607,-87,1006
214,2,514,1610,-87,1009
215,1,519,1622,-82,1021
216,2,519,1625,-82,1024
217,1,524,1637,-77,1036
218,2,524,1640,-77,1039
219,1,529,1652,-72,1051
220,2,529,1655,-72,1054
221,1,534,1667,-67,1066
222,2,534,1670,-67,1069
223,1,538,1682,-63,1081
224,2,538,1685,-63,1084
225,1,542,1697,-59,1096
226,2,542,1700,-59,1099
227,1,547,1712,-54,1111
228,2,547,1715,-54,1114
229,1,552,1727,-49,1126
230,2,552,1730,-49,1129
231,1,556,1742,-45,1141
232,2,556,1745,-45,1144
233,1,562,1757,-39,1156
234,2,562,1760,-39,1159
235,1,566,1772,-35,1171
236,2,566,1775,-35,1174
237,1,570,1787,-31,1186
238,2,570,1790,-31,1189
239,1,575,1802,-26,1201
240,2,575,1805,-26,1204
241,1,579,1817,-22,1216
242,2,579,1820,-22,1219
243,1,584,1832,-17,1231
244,2,584,1835,-17,1234
245,1,589,1847,-12,1246
246,2,589,1850,-12,1249
247,1,594,1862,-7,1261
248,2,594,1865,-7,1264
249,1,599,1877,-2,1276
250,2,599,1880,-2,1279
251,1,604,1892,3,1291
252,2,604,2525,3,1924
253,1,610,1895,9,1294
254,2,610,2533,9,1932
255,1,615,1906,14,1305
256,2,615,2536,14,1935
257,1,620,1908,19,1307
258,2,620,2544,19,1943
259,1,625,1917,24,1316
260,2,625,2547,24,1946
261,1,631,1920,30,1319
262,2,631,2555,30,1954
263,1,636,1928,35,1327
264,2,636,2558,35,1957
265,1,642,1931,41,1330
266,2,642,2566,41,1965
267,1,647,1939,46,1338
268,2,647,2569,46,1968
269,1,652,1942,51,1341
270,2,652,2577,51,1976
271,1,657,1950,56,1349
272,2,657,2580,56,1979
273,1,662,1953,61,1352
274,2,662,2588,61,1987
275,1,666,1961,65,1360
276,2,666,2591,65,1990
277,1,672,1964,71,1363
278,2,672,2599,71,1998
279,1,677,1972,76,1371
280,2,677,2602,76,2001
281,1,682,1975,81,1374
282,2,682,2610,81,2009
283,1,687,1983,86,1382
284,2,687,2613,86,2012
285,1,692,1986,91,1385
286,2,692,2621,91,2020
287,1,696,1994,95,1393
