cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
601,driver_stop,1,10,140,144,0
614,hardware_stop,1,10,142,146,4
647,stop_snapshot,1,10,142,160,18
668,prefill_started,3,10,142,168,26
811,prefill_finished,3,10,142,226,84
811,root_detached,1,10,142,226,84
811,root_published,3,10,142,226,84
811,drain_watch_armed,1,10,142,226,84
811,driver_resume,1,10,142,226,84
812,hardware_resume,1,10,142,226,84
1893,root_detached,3,10,228,229,0
1893,root_published,1,11,228,229,0
1907,clear_engine,3,0,227,227,0
