request_id,flow,size_bytes,push_cycle,pop_cycle,dropped
1,1,115,0,20,false
2,2,121,0,23,false
3,1,158,5,31,false
4,2,130,5,34,false
5,1,145,10,42,false
6,2,130,10,45,false
7,1,136,15,53,false
8,2,156,15,56,false
9,1,113,20,64,false
10,2,105,20,67,false
11,1,154,25,75,false
12,2,99,25,78,false
13,1,113,30,86,false
14,2,127,30,89,false
15,1,130,35,97,false
16,2,168,35,100,false
17,1,115,40,108,false
18,2,166,40,111,false
19,1,138,46,119,false
20,2,110,46,122,false
21,1,122,51,130,false
22,2,109,51,133,false
23,1,134,56,141,false
24,2,102,56,144,false
25,1,165,61,152,false
26,2,124,61,155,false
27,1,93,66,163,false
28,2,173,66,166,false
29,1,185,71,174,false
30,2,71,71,177,false
31,1,163,76,185,false
32,2,111,76,188,false
33,1,116,81,196,false
34,2,98,81,199,false
35,1,192,86,207,false
36,2,180,86,210,false
37,1,138,90,218,false
38,2,116,90,221,false
39,1,149,95,229,false
40,2,158,95,232,false
41,1,157,99,240,false
42,2,124,99,243,false
43,1,107,104,251,false
44,2,110,104,254,false
45,1,104,109,262,false
46,2,134,109,265,false
47,1,78,113,273,false
48,2,129,113,276,false
49,1,124,118,284,false
50,2,118,118,287,false
51,1,107,124,295,false
52,2,121,124,298,false
53,1,157,129,306,false
54,2,173,129,309,false
55,1,148,134,317,false
56,2,169,134,320,false
57,1,129,139,328,false
58,2,104,139,331,false
59,1,144,144,339,false
60,2,158,144,342,false
61,1,90,148,350,false
62,2,123,148,353,false
63,1,109,153,361,false
64,2,181,153,364,false
65,1,158,158,372,false
66,2,136,158,375,false
67,1,129,163,383,false
68,2,125,163,386,false
69,1,140,168,394,false
70,2,158,168,397,false
71,1,134,174,405,false
72,2,100,174,408,false
73,1,123,179,416,false
74,2,139,179,419,false
75,1,161,183,427,false
76,2,142,183,430,false
77,1,120,188,438,false
78,2,170,188,441,false
79,1,145,193,449,false
80,2,123,193,452,false
81,1,170,198,460,false
82,2,152,198,463,false
83,1,134,203,471,false
84,2,171,203,474,false
85,1,84,208,482,false
86,2,139,208,485,false
87,1,159,212,493,false
88,2,106,212,496,false
89,1,134,217,504,false
90,2,106,217,507,false
91,1,111,222,515,false
92,2,126,222,518,false
93,1,139,226,526,false
94,2,124,226,529,false
95,1,93,231,537,false
96,2,107,231,540,false
97,1,177,235,548,false
98,2,142,235,551,false
99,1,108,240,559,false
100,2,114,240,562,false
101,1,137,245,570,false
102,2,128,245,573,false
103,1,114,249,581,false
104,2,114,249,584,false
105,1,75,254,592,false
106,2,156,254,595,false
107,1,144,259,603,false
108,2,140,259,606,false
109,1,141,264,827,false
110,2,126,264,830,false
111,1,96,269,842,false
112,2,121,269,845,false
113,1,172,274,857,false
114,2,122,274,860,false
115,1,149,279,872,false
116,2,144,279,875,false
117,1,161,284,887,false
118,2,105,284,890,false
119,1,183,288,902,false
120,2,161,288,905,false
121,1,142,293,917,false
122,2,110,293,920,false
123,1,97,297,932,false
124,2,151,297,935,false
125,1,128,302,947,false
126,2,98,302,950,false
127,1,112,307,962,false
128,2,163,307,965,false
129,1,89,311,977,false
130,2,149,311,980,false
131,1,141,316,992,false
132,2,137,316,995,false
133,1,138,321,1007,false
134,2,131,321,1010,false
135,1,155,325,1022,false
136,2,106,325,1025,false
137,1,115,329,1037,false
138,2,147,329,1040,false
139,1,152,334,1052,false
140,2,132,334,1055,false
141,1,137,339,1067,false
142,2,125,339,1070,false
143,1,88,344,1082,false
144,2,78,344,1085,false
145,1,71,349,1097,false
146,2,94,349,1100,false
147,1,127,353,1112,false
148,2,138,353,1115,false
149,1,137,358,1127,false
150,2,125,358,1130,false
151,1,105,362,1142,false
152,2,110,362,1145,false
153,1,150,367,1157,false
154,2,97,367,1160,false
155,1,128,372,1172,false
156,2,135,372,1175,false
157,1,156,376,1187,false
158,2,120,376,1190,false
159,1,119,382,1202,false
160,2,115,382,1205,false
161,1,101,387,1217,false
162,2,139,387,1220,false
163,1,114,392,1232,false
164,2,167,392,1235,false
165,1,120,397,1247,false
166,2,100,397,1250,false
167,1,115,403,1262,false
168,2,110,403,1265,false
169,1,144,407,1277,false
170,2,118,407,1280,false
171,1,126,413,1292,false
172,2,104,413,1295,false
173,1,111,418,1307,false
174,2,126,418,1310,false
175,1,93,423,1322,false
176,2,125,423,1325,false
177,1,166,427,1337,false
178,2,112,427,1340,false
179,1,118,432,1352,false
180,2,115,432,1355,false
181,1,118,437,1367,false
182,2,133,437,1370,false
183,1,121,442,1382,false
184,2,145,442,1385,false
185,1,138,446,1397,false
186,2,119,446,1400,false
187,1,102,451,1412,false
188,2,97,451,1415,false
189,1,127,455,1427,false
190,2,159,455,1430,false
191,1,122,460,1442,false
192,2,111,460,1445,false
193,1,125,465,1457,false
194,2,145,465,1460,false
195,1,160,470,1472,false
196,2,145,470,1475,false
197,1,102,474,1487,false
198,2,105,474,1490,false
199,1,163,478,1502,false
200,2,133,478,1505,false
201,1,165,484,1517,false
202,2,84,484,1520,false
203,1,142,489,1532,false
204,2,112,489,1535,false
205,1,108,494,1547,false
206,2,107,494,1550,false
207,1,163,499,1562,false
208,2,129,499,1565,false
209,1,144,504,1577,false
210,2,101,504,1580,false
211,1,137,509,1592,false
212,2,95,509,1595,false
213,1,120,514,1607,false
214,2,134,514,1610,false
215,1,137,519,1622,false
216,2,162,519,1625,false
217,1,140,524,1637,false
218,2,146,524,1640,false
219,1,141,529,1652,false
220,2,146,529,1655,false
221,1,155,534,1667,false
222,2,128,534,1670,false
223,1,101,538,1682,false
224,2,160,538,1685,false
225,1,115,542,1697,false
226,2,158,542,1700,false
227,1,156,547,1712,false
228,2,106,547,1715,false
229,1,130,552,1727,false
230,2,150,552,1730,false
231,1,146,556,1742,false
232,2,134,556,1745,false
233,1,123,562,1757,false
234,2,137,562,1760,false
235,1,145,566,1772,false
236,2,132,566,1775,false
237,1,109,570,1787,false
238,2,130,570,1790,false
239,1,143,575,1802,false
240,2,151,575,1805,false
241,1,104,579,1817,false
242,2,97,579,1820,false
243,1,138,584,1832,false
244,2,131,584,1835,false
245,1,124,589,1847,false
246,2,95,589,1850,false
247,1,165,594,1862,false
248,2,121,594,1865,false
249,1,104,599,1877,false
250,2,104,599,1880,false
251,1,104,604,1892,false
252,2,131,604,2525,false
253,1,164,610,1895,false
254,2,141,610,2533,false
255,1,118,615,1906,false
256,2,98,615,2536,false
257,1,94,620,1908,false
258,2,149,620,2544,false
259,1,114,625,1917,false
260,2,146,625,2547,false
261,1,87,631,1920,false
262,2,103,631,2555,false
263,1,180,636,1928,false
264,2,106,636,2558,false
265,1,139,642,1931,false
266,2,161,642,2566,false
267,1,96,647,1939,false
268,2,173,647,2569,false
269,1,96,652,1942,false
270,2,101,652,2577,false
271,1,105,657,1950,false
272,2,158,657,2580,false
273,1,129,662,1953,false
274,2,117,662,2588,false
275,1,127,666,1961,false
276,2,122,666,2591,false
277,1,92,672,1964,false
278,2,155,672,2599,false
279,1,147,677,1972,false
280,2,109,677,2602,false
281,1,149,682,1975,false
282,2,127,682,2610,false
283,1,176,687,1983,false
284,2,148,687,2613,false
285,1,160,692,1986,false
286,2,109,692,2621,false
287,1,148,696,1994,false
288,2,128,696,2624,false
289,1,131,700,1997,false
290,2,167,700,2632,false
291,1,115,705,2005,false
292,2,119,705,2635,false
293,1,164,710,2008,false
294,2,150,710,2643,false
295,1,118,715,2016,false
296,2,112,715,2646,false
297,1,145,721,2019,false
298,2,168,721,2654,false
299,1,104,726,2027,false
300,2,110,726,2657,false
301,1,139,731,2030,false
302,2,150,731,2665,false
303,1,110,735,2038,false
304,2,164,735,2668,false
305,1,146,741,2041,false
306,2,148,741,2676,false
307,1,94,746,2049,false
308,2,125,746,2679,false
309,1,139,750,2052,false
310,2,132,750,2687,false
311,1,110,755,2060,false
312,2,100,755,2690,false
313,1,120,760,2063,false
314,2,113,760,2698,false
315,1,92,765,2071,false
316,2,100,765,2701,false
317,1,89,771,2074,false
318,2,115,771,2709,false
319,1,136,775,2082,false
320,2,151,775,2712,false
321,1,96,779,2085,false
322,2,146,779,2720,false
323,1,107,784,2093,false
324,2,143,784,2723,false
325,1,100,788,2096,false
326,2,127,788,2731,false
327,1,140,793,2104,false
328,2,131,793,2734,false
329,1,131,798,2107,false
330,2,98,798,2742,false
331,1,112,804,2115,false
332,2,104,804,2745,false
333,1,99,808,2118,false
334,2,151,808,2753,false
335,1,162,813,2126,false
336,2,121,813,2756,false
337,1,185,817,2129,false
338,2,109,817,2764,false
339,1,136,822,2137,false
340,2,103,822,2767,false
341,1,161,827,2140,false
342,2,125,827,2775,false
343,1,138,832,2148,false
344,2,123,832,2778,false
345,1,104,836,2151,false
346,2,103,836,2786,false
347,1,75,840,2159,false
348,2,89,840,2789,false
349,1,110,845,2162,false
350,2,97,845,2797,false
351,1,147,849,2170,false
352,2,121,849,2800,false
353,1,145,853,2173,false
354,2,81,853,2808,false
355,1,123,859,2181,false
356,2,146,859,2811,false
357,1,152,863,2184,false
358,2,110,863,2819,false
359,1,119,868,2192,false
360,2,127,868,2822,false
361,1,140,874,2195,false
362,2,104,874,2830,false
363,1,143,879,2203,false
364,2,113,879,2833,false
365,1,115,884,2206,false
366,2,148,884,2841,false
367,1,104,889,2214,false
368,2,115,889,2844,false
369,1,174,894,2217,false
370,2,106,894,2852,false
371,1,126,898,2225,false
372,2,191,898,2855,false
373,1,149,903,2228,false
374,2,76,903,2863,false
375,1,127,907,2236,false
376,2,91,907,2866,false
377,1,118,911,2239,false
378,2,118,911,2874,false
379,1,121,916,2247,false
380,2,147,916,2877,false
381,1,125,921,2250,false
382,2,140,921,2885,false
383,1,154,926,2258,false
384,2,116,926,2888,false
385,1,132,931,2261,false
386,2,162,931,2896,false
387,1,151,936,2269,false
388,2,156,936,2899,false
389,1,134,941,2272,false
390,2,134,941,2907,false
391,1,129,946,2280,false
392,2,112,946,2910,false
393,1,139,950,2283,false
394,2,128,950,2918,false
395,1,108,955,2291,false
396,2,98,955,2921,false
397,1,134,959,2294,false
398,2,97,959,2929,false
399,1,150,964,2302,false
400,2,118,964,2932,false
401,1,112,968,2305,false
402,2,132,968,2940,false
403,1,116,974,2313,false
404,2,146,974,2943,false
405,1,130,978,2316,false
406,2,167,978,2951,false
407,1,144,983,2324,false
408,2,110,983,2954,false
409,1,132,987,2327,false
410,2,150,987,2962,false
411,1,145,991,2335,false
412,2,109,991,2965,false
413,1,125,996,2338,false
414,2,126,996,2973,false
415,1,122,1001,2346,false
416,2,69,1001,2976,false
417,1,144,1006,2349,false
418,2,141,1006,2984,false
419,1,150,1011,2357,false
420,2,129,1011,2987,false
421,1,111,1015,2360,false
422,2,123,1015,2995,false
423,1,109,1019,2368,false
424,2,103,1019,2998,false
425,1,131,1024,2371,false
426,2,106,1024,3006,false
427,1,113,1029,2379,false
428,2,108,1029,3009,false
429,1,151,1033,2382,false
430,2,127,1033,3017,false
431,1,87,1038,2390,false
432,2,105,1038,3020,false
433,1,144,1043,2393,false
434,2,148,1043,3028,false
435,1,127,1048,2401,false
436,2,95,1048,3031,false
437,1,107,1054,2404,false
438,2,123,1054,3039,false
439,1,136,1058,2412,false
