window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction
0,64,-288,21.25,0.33203125,13.4375,7.8125,0.2099609375,0.1220703125
64,128,-224,19.984375,0.312255859375,7.734375,12.25,0.120849609375,0.19140625
128,192,-160,19.265625,0.301025390625,12.5625,6.703125,0.1962890625,0.104736328125
192,256,-96,22.375,0.349609375,7.859375,14.515625,0.122802734375,0.226806640625
256,320,-32,23.578125,0.368408203125,13.59375,9.984375,0.21240234375,0.156005859375
320,384,32,21.84375,0.34130859375,14.34375,7.5,0.22412109375,0.1171875
384,448,96,22.40625,0.35009765625,10.171875,12.234375,0.158935546875,0.191162109375
448,512,160,27.09375,0.42333984375,14.515625,12.578125,0.226806640625,0.196533203125
512,576,224,19.609375,0.306396484375,8.0625,11.546875,0.1259765625,0.180419921875
576,640,288,19.4375,0.3037109375,12.140625,7.296875,0.189697265625,0.114013671875
640,704,352,23.484375,0.366943359375,8.875,14.609375,0.138671875,0.228271484375
704,768,416,25.59375,0.39990234375,10.34375,15.25,0.16162109375,0.23828125
768,832,480,22.03125,0.34423828125,13.796875,8.234375,0.215576171875,0.128662109375
832,896,544,25.90625,0.40478515625,13.40625,12.5,0.20947265625,0.1953125
896,960,608,18.71875,0.29248046875,8.390625,10.328125,0.131103515625,0.161376953125
960,1024,672,17.46875,0.27294921875,17.46875,0,0.27294921875,0
1024,1088,736,20.578125,0.321533203125,20.578125,0,0.321533203125,0
1088,1152,800,12.75,0.19921875,12.75,0,0.19921875,0
1152,1216,864,17.65625,0.27587890625,17.65625,0,0.27587890625,0
1216,1280,928,21.15625,0.33056640625,21.15625,0,0.33056640625,0
1280,1344,992,12.359375,0.193115234375,12.359375,0,0.193115234375,0
1344,1408,1056,17.546875,0.274169921875,17.546875,0,0.274169921875,0
1408,1472,1120,13.375,0.208984375,13.375,0,0.208984375,0
1472,1536,1184,16.265625,0.254150390625,16.265625,0,0.254150390625,0
1536,1600,1248,16.578125,0.259033203125,12.78125,3.796875,0.19970703125,0.059326171875
1600,1664,1312,18.359375,0.286865234375,0,18.359375,0,0.286865234375
1664,1728,1376,18.546875,0.289794921875,0,18.546875,0,0.289794921875
1728,1792,1440,15.984375,0.249755859375,0,15.984375,0,0.249755859375
1792,1856,1504,15.875,0.248046875,0,15.875,0,0.248046875
1856,1920,1568,16.34375,0.25537109375,0,16.34375,0,0.25537109375
1920,1984,1632,18.046875,0.281982421875,0,18.046875,0,0.281982421875
1984,2048,1696,16.390625,0.256103515625,0,16.390625,0,0.256103515625
2048,2112,1760,16.984375,0.265380859375,0,16.984375,0,0.265380859375
2112,2176,1824,14.15625,0.22119140625,0,14.15625,0,0.22119140625
2176,2240,1888,7.125,0.111328125,0,7.125,0,0.111328125
